TID	NAME	UseNormalAttack	HateRace	HateRacePercent	HateClass	HateClassPercent	FollowerTID	FollowerNUM	Max_CumulativeFollower	Min_UpkeepFollower	Skill1	SkillCondition	SkillCount	Skill2	SkillCondition	SkillCount	Skill3	SkillCondition	SkillCount	Skill4	SkillCondition	SkillCount	Skill5	SkillCondition	SkillCount	Item1	ItemUseHPLimit	ItemUseNumber	ItemUseInterval	Guard	GuardObject	PreemptiveType	PreemptiveCondition1	PreemptiveCondition2	PreemptiveCondition3	PreemptiveRange	Immunity	ImmunPercent	Attribute	SummonTID	SummonMaxCount	SearchEnemy	StopFight	Escape	EscapteHP	EscapeTime	EscapeNumber	LinkMonsterTID	LinkMonsterSight	HideMonster	HideMonsterHP	HideMonsterTime	MaintenanceRange	Helper	LootItem	LootItemTime	RandomTarget	PinchMonster	Visibility
100000	가드	0																												고정																													
99999	크리처	1																																																									
99998	에픽존테스트																																																										
5430	그리올리	1									387;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지																										
6130	투우가	1									388;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지																										
4640	실피드	1									389;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지																										
4630	그라디언	1									390;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지																										
4620	머큐리	1									391;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지																										
4610	베놈	1									392;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지																										
5410	시그너스	1									393;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지																										
5420	실버	1									394;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지																										
4680	라이트닝 트랩	1									386;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지						고정																				
6390	홀리그라운드	1									395;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지						고정																				
3790	스켈레톤 워리어	1									668;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지																										
3800	빅팀	1									667;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지																										
12680	공성_가드타워	1									485;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지			15			고정																				
12780	공성_가드타워_부서짐A	1																																					고정																				
12790	공성_가드타워_부서짐B	1																																					고정																				
12630	공성_부활 깃발	1																																					고정																				
12800	공성_부활깃발부서짐	1																																					고정																				
12640	공성_부활탑	1																																					고정																				
12810	공성_부활탑_부서짐	1																																					고정																				
12650	공성_성문	1																																					고정																				
12830	공성_성문_부서짐A	1																																					고정																				
12840	공성_성문_부서짐B	1																																					고정																				
12690	공성_성문B	1																																					고정																				
12870	공성_성문B_부서짐A	1																																					고정																				
12880	공성_성문B_부서짐B	1																																					고정																				
12660	공성_아콘눈	1																																					고정																				
13640	공성_아콘눈_부서짐	1																																					고정																				
12670	공성_아콘눈_가드	1									484;1	HP;100%;이하	무한;																										고정																				
12580	투석기	1																																					고정																				
12900	공성_투석기_부서진것	1																																					고정																				
13120	공성내부_왕좌	1																																					고정																				
13170	공성_생명탑	1									483;1	HP;100%;이하	무한;																										고정																				
13050	랜스피어_성문	1																																					고정																				
13970	랜스피어_성문_부서짐	1																																					고정																				
1980	공던2_조형물01	1																																					고정																				
3780	랜스피어 내성문	1																																					고정																				
13670	트랩_무너짐01	1									500;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지			15			고정																				
13740	트랩_무너짐01_죽기	1																														1	타겟;LV;90;이상;금지			15			고정																				
13680	트랩_무너짐02	1									501;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지			15			고정																				
13750	트랩_무너짐02_죽기	1																														1	타겟;LV;90;이상;금지			15			고정																				
13690	트랩_무너짐03	1									502;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지			15			고정																				
13760	트랩_무너짐03_죽기	1																														1	타겟;LV;90;이상;금지			15			고정																				
13770	트랩_바닥01	1									550;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지			15			고정																				
13780	트랩_바닥02	1									551;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지			15			고정																				
13790	트랩_바닥03	1									552;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지			15			고정																				
13800	트랩_바닥04	1									503;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지			15			고정																				
13810	트랩_바닥05	1									504;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지			15			고정																				
13820	트랩_바닥06	1									505;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지			15			고정																				
13830	트랩_분출01	1									506;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지			15			고정																				
13840	트랩_찌르기01	1									507;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지			15			고정																				
3610	트랩_찌르기02	1									549;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지			15			고정																				
3670	랜스피어 성문	1																																					고정																				
3690	랜스피어 성문 파괴중	1																																					고정																				
3680	랜스피어 성문 잔해	1																																					고정																				
3710	트랩_낙뢰	1									595;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지			15			고정																				
3720	트랩_울타리	1									596;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지			15			고정																				
3700	트랩_환영번개	1									594;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지			15			고정																				
3730	트랩_독가스	1									622;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지			15			고정																				
3740	트랩_독가시	1									623;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지			15			고정																				
3750	트랩_독웅덩이	1									624;1	HP;100%;이하	무한;																			1	타겟;LV;90;이상;금지			15			고정																				
330	암흑거미	1	인간	110	전사	110																																																					
4500	그린 웜	1	오크	110	궁수	110																																																					
4730	어린 바릭	1	인간	100	궁수	100																																																					
140	거대 박쥐	1	인간	120	법사	110																																																					
4520	옐로우 웜	1	오크	120	전사	115																																																					
5040	쇠부리 바릭	1	인간	100	궁수	100																																																					
1290	바위거미	1	인간	125	궁수	115																																																					
100	사슴	1	오크	125	법사	115																																																					
7770	레드 아이볼	1	인간	130	전사	120																																																					
200	고블린	1	오크	130	궁수	120																																																					
310	거대 나방	1	인간	110	법사	120																																																					
6480	그린 몰드	1	오크	110	전사	125																																																					
110	멧돼지	1	인간	120	궁수	125																																																					
820	동굴박쥐	1	오크	120	법사	125																																																					
8030	실크 아이볼	1	인간	125	전사	110																																																					
680	고블린 정찰자	1	오크	125	궁수	110																																																					
1200	붉은 나방	1	인간	130	법사	110																																																					
1170	워터바이퍼	1	오크	130	전사	115					193;1	HP;100%;이하	무한;																																														
360	바이퍼	1	인간	110	궁수	115																																																					
6460	블러드 큐브	1	오크	110	법사	115																																																					
3190	스파인울프	1	인간	120	전사	120																																																					
7150	마릴리스	1	오크	120	궁수	120																																																					
1190	워터바이퍼 메이지	1	인간	125	법사	120																																																					
710	바이퍼 전사	1	오크	125	전사	125																																																					
4710	놀 졸병	1	인간	100	궁수	100					195;1	HP;100%;이하	무한;																																														
690	고블린 레인저	1	인간	130	궁수	125																																																					
3230	영 레드스파인울프	1	오크	130	법사	125																																																					
890	크로울러	1	인간	110	전사	110																																																					
6400	고블린 호위병	1	오크	110	궁수	110																																																					
5000	놀 전사	1	인간	100	궁수	100																																																					
2750	고블린 추장	1	인간	120	법사	110					179;1	HP;100%;이하	무한;	195;1	HP;100%;이하	무한;																																											
3250	레드스파인울프	1	오크	120	전사	115																																																					
1180	워터바이퍼 전사	1	인간	125	궁수	115																																																					
720	바이퍼 메이지	1	오크	125	법사	115																																																					
1280	화염 박쥐	1	인간	130	전사	120					196;1	HP;100%;이하	무한;																																														
840	블랙 크로울러	1	오크	130	궁수	120																																																					
5010	놀 돌격병	1	인간	100	궁수	100																																																					
4810	놀 대왕	1	인간	100	궁수	100					373;1	HP;100%;이하	무한;	195;1	HP;100%;이하	무한;																																											
5050	검은 바릭	1	인간	100	궁수	100																																																					
6410	영 다이어울프	1	인간	110	법사	120																																																					
4510	화이트드랜	1	오크	110	전사	125																																																					
260	리자드맨	1	인간	120	궁수	125																																																					
3370	바이퍼 킹	1	오크	120	법사	125					181;1	HP;100%;이하	무한;	193;1	HP;100%;이하	무한;																																											
7310	젊은 뱀파이어	1	인간	125	전사	110																																																					
7140	어린 라미아	1	오크	125	궁수	110																																																					
2990	미스트벅	1	인간	130	법사	110																																																					
320	스켈레톤	1	오크	130	전사	115																																																					
1210	그레이브 스켈레톤	1	인간	110	궁수	115																																																					
370	영 라이칸토	1	오크	110	법사	115																																																					
4750	밴딜리언 병사	1	인간	100	궁수	100					192;1	HP;100%;이하	무한;																																														
2920	리자드맨 격투가	1	인간	120	전사	120																																																					
6430	영 만티코어	1	오크	120	궁수	120																																																					
730	스켈레톤 궁수	1	인간	125	법사	120																																																					
