TID	Name	Type	Race	Gender	Class	LVL	STR	DEX	INT	CON	CHA	Wis	AC	MAX_HP	MAX_SP	MAX_MP	CUR_HP	CUR_SP	CUR_MP	Movement Walk	Movement Run	AR	DR	MAR	MDR	Min_Damage	Max_Damage	ATK Speed	Range	Fire Res.	Water Res.	Air Res.	Earth Res.	Magic Res.	Poison Res.	Ice Res.	Thunder Res.	Magic History	Murder Point	Exp	Fire Min_Damage	Fire Max_Damage	Water Min_Damage	Water Max_Damage	Earth Min_Damage	Earth Max_Damage	Air Min_Damage	Air Max_Damage	Magic Min_Damage	Magic Max_Damage	Poison Min_Damage	Poison Max_Damage	Ice Min_Damage	Ice Max_Damage	Thunder Min_Damage	Thunder Max_Damage	Physical_Resistance	Skill_Block	Sight	Badge1_Rank Point	Badge2_Rank Point	Badge3_Rank Point	Rank	Item Point	Guild	Guild Rank	Guild Score	Lost Exp	Weapon	Item1	Item2	Item3	Item4	Armor_Head	Armor_Body	Armor_Arm	Armor_Hand	Armor_Leg	Armor_Foot	Armor_Mantle	Money	Geld_Min	Geld_Max	Drop_TID	slow_percent	slow_time	fast_percent	fast_time	Product_Skin_ItemName	Product_Meat	Product_Meat_ItemName	Product_Garbage	Product_Garbage_ItmeName	attribute_type	name_color	DropRank	DropMeditation	Spirit Type	LandAttachType	Tamable	Run Correct	Attack Correct	SiegeWarCharType	RangeType	StaminaPoint	PetType	StartStamina	Heroic_Min_Damage	Heroic_Max_Damage	Heroic_Defense_Point
1	Archer	196609	1	1	2	1	11	17	9	10		9		80	92	48				2000	6000							60	100																																								1	190;5	193;3	194;500	3857;5												9	5	9	3											0		1	1								
3	Sorcerer	196609	2	1	4	1	8	8	17	9		14		72	43	75				2000	6000							60	100																																								12	190;5	193;3	3857;5													9	5	9	3											0		1	1								
4	Berserker	196609	2	1	1	1	18	11	7	14		6		112	59	32				2000	6000							60	100																																								11	190;5	193;3	3857;5													9	5	9	3											0		1	1								
5	Spriggan Charger	196612	11		5	36	146	109	97	121		75	18	1743	583	614				1400	5000	97	54			171	180	37	190	50	50	50	50	50	50	50	50			1387																			2500																							93	103		1	5	1	3								1	1		0	1	1	1								
6	Mage	196609	1	2	4	1	8	7	16	10		15		80	38	81				2000	6000							60	100																																								12	190;5	193;3	3857;5													9	5	9	3											0		1	1								
8	Hunter	196609	2	2	2	1	12	16	9	11		8		88	86	43				2000	6000							60	100																																								1	190;5	193;3	194;500	3857;5												9	5	9	3											0		1	1								
9	Elementalist	196609	3	2	4	1	7	8	17	8		16		64	43	86				2000	6000							60	100																																								2711	190;5	193;3	3857;5													9	5	9	3											0		1	1								
10	Deer	196612	11		5	3	18	13	9	16		8	2	184	72	46				1500	5000	24				19	20	37	230	50	50	50	50	50	50	50	50			41																			2500																							12	14		1	5	1	3								1	1		1	1	1	1								
11	Boar	196612	11		5	5	22	16	11	19		9	3	207	86	62				900	5500	27				25	26	37	180	50	50	50	50	50	50	50	50			78																			2500																							15	17		1	5	1	3								1	1		1	1	1	1								
12	Thief	196612	11		5	22	77	60	50	65		39	10	700	309	310				5200	7200	61	35			92	97	37	190	50	50	50	50	50	50	50	50			547																			2500																							48	54		1	5	1	3								1	1		0	1	1	1								
13	Big Boar	196612	11		5	20	71	53	45	59		34	9	604	276	273				1350	6200	56	32			84	89	42	230	50	50	50	50	50	50	50	50			476																			2500																							44	48		1	5	1	3								1	1		1	1	1	1								
14	Giant Bat	196612	11		5	2	17	12	8	15		7	2	168	66	40				3100	4550	23				17	17	37	130	50	50	50	50	50	50	50	50			27																			2500																							11	13		1	5	1	3								1	1		0	1	1									
15	Taravan	196612	11		5	38	164	118	108	136		83	20	11592	627	663				2340	5000	103	57			307	322	42	190	50	50	50	50	50	50	50	50			3107																			2500																							253	278		1	5	1	3							BDA66B	2	1.5		0		1	1								
16	Bronze Dragon Cid	196612	11		5	25	106	73	70	87		54	24	11676	399	410				3000	6500	73	41			227	238	25	470	100		50	50	50	50	50	50			3348	122	134																	2500																							228	252		1	5	1	3						1	F15D5D	3	1.5	3	0		1	1								
17	Gargoyle	196612	11		5	28	108	80	69	89		53	13	1098	418	431				750	6500	75	42			127	133	37	270	50	50	50	50	50	50	50	50			850																			2500																							66	72		1	5	1	3								1	1		0	1	1	1								
18	Rock Torge	196612	11		5	24	87	64	56	72		43	11	787	344	349				1600	5300	66	37			103	108	42	240	50	50	50	50	50	50	50	50			634																			2500																							54	60		1	5	1	3								1	1		0	1	1	2								
19	Forest Bucket	196612	11		5	37	158	114	104	131		80	19	1836	605	638				1100	6500	100	56			185	194	42	250	50	50	50	50	50	50	50	50			1468																			2500																							97	107		1	5	1	3								1	1		1	1	1	1								
20	Goblin	196612	11		5	4	20	15	10	18		8	2	200	79	54				900	4800	26				22	23	42	150	50	50	50	50	50	50	50	50			58																			2500																							14	16		1	5	1	3								1	1		0	1	1									
21	Polgo	196612	11		5	9	39	28	24	33		19	9	3684	148	131				750	6300	37	21			87	91	25	350	50	50		100	50	50	50	50			1267					47	51													2500																							84	92		1	5	1	3						4	F15D5D	3	1.899999976	4	2		1	1								
22	Spriggan Lord	196612	11		5	40	197	138	134	159		102	46	29268	719	765				400	6000	115	64			417	438	25	190	100		50	50	50	50	50	50			8064	223	247																	2500																							432	480		1	5	1	3						1	F15D5D	3	1.5	3	0		2									
23	Harpy	196612	11		5	46	217	161	143	176		108	27	2904	815	872				1600	5100	126	71			252	265	47	190	50	50	50	50	50	50	50	50			2507																			2500																							134	148		1	5	1	3								1	1		0	1	1	1								
24	Hydra	196612	11		5	37	177	122	121	144		92	41	24889	649	688				2250	6000	106	59			377	395	25	470		100	50	50	50	50	50	50			6891			201	223															2500																							388	428		1	5	1	3						2	BDA66B	3	1.5	2	1		1	1								
25	Ciroro	196612	11		5	9	39	28	24	33		19	9	3684	148	131				750	6300	37	21			87	91	25	350	50	50		100	50	50	50	50			1267					47	51													2500																							84	92		1	5	1	3						4	F15D5D	3	1.899999976	4	2		1	1								
26	Lizardman	196612	11		5	10	34	25	20	29		16	4	298	136	117				1000	5200	35				42	44	37	160	50	50	50	50	50	50	50	50			249																			2500																							23	25		1	5	1	3								1	1		0	1	1	1								
27	Torge Lord	196612	11		5	50	266	187	183	215		139	62	47460	968	1042				1600	6800	144	82			561	589	25	270	50	50		100	50	50	50	50			15279					300	332													2500																							608	672		1	5	1	3						4	BDA66B	3	1.5	4	0		1	1								
