Character_Lv	Gacha_ItemTID	Gacha_Item_Number	Gacha_Cost	Rank1	Rank2	Rank3	Rank4
1	7436	1		9980	0	0	20
2	7436	1		9980	0	0	20
3	7436	1		9980	0	0	20
4	7436	1		9980	0	0	20
5	7436	1		9980	0	0	20
6	7436	1		9980	0	0	20
7	7436	1		9980	0	0	20
8	7436	1		9980	0	0	20
9	7436	1		9980	0	0	20
10	7436	1		9980	0	0	20
11	7436	1		9980	0	0	20
12	7436	1		9980	0	0	20
13	7436	1		9980	0	0	20
14	7436	1		9980	0	0	20
15	7436	1		9980	0	0	20
16	7436	1		9980	0	0	20
17	7436	1		9980	0	0	20
18	7436	1		9980	0	0	20
19	7436	1		9980	0	0	20
20	7436	1		9980	0	0	20
21	7436	1		9980	0	0	20
22	7436	1		9980	0	0	20
23	7436	1		9980	0	0	20
24	7436	1		9980	0	0	20
25	7436	1		9980	0	0	20
26	7436	1		9980	0	0	20
27	7436	1		9980	0	0	20
28	7436	1		9980	0	0	20
29	7436	1		9980	0	0	20
30	7436	1		9980	0	0	20
31	7436	1		9980	0	0	20
32	7436	1		9980	0	0	20
33	7436	1		9980	0	0	20
34	7436	1		9980	0	0	20
35	7436	1		9980	0	0	20
36	7436	1		9980	0	0	20
37	7436	1		9980	0	0	20
38	7436	1		9980	0	0	20
39	7436	1		9980	0	0	20
40	7436	1		9980	0	0	20
41	7436	1		9980	0	0	20
42	7436	1		9980	0	0	20
43	7436	1		9980	0	0	20
44	7436	1		9980	0	0	20
45	7436	1		9980	0	0	20
46	7436	1		9980	0	0	20
47	7436	1		9980	0	0	20
48	7436	1		9980	0	0	20
49	7436	1		9980	0	0	20
50	7436	1		9980	0	0	20
51	7436	1		9980	0	0	20
52	7436	1		9980	0	0	20
53	7436	1		9980	0	0	20
54	7436	1		9980	0	0	20
55	7436	1		9980	0	0	20
56	7436	1		9980	0	0	20
57	7436	1		9980	0	0	20
58	7436	1		9980	0	0	20
59	7436	1		9980	0	0	20
60	7436	1		9980	0	0	20
61	7436	1		9980	0	0	20
62	7436	1		9980	0	0	20
63	7436	1		9980	0	0	20
64	7436	1		9980	0	0	20
65	7436	1		9980	0	0	20
66	7436	1		9980	0	0	20
67	7436	1		9980	0	0	20
68	7436	1		9980	0	0	20
69	7436	1		9980	0	0	20
70	7436	1		9980	0	0	20
71	7436	1		9980	0	0	20
72	7436	1		9980	0	0	20
73	7436	1		9980	0	0	20
74	7436	1		9980	0	0	20
75	7436	1		9980	0	0	20
76	7436	1		9980	0	0	20
77	7436	1		9980	0	0	20
78	7436	1		9980	0	0	20
79	7436	1		9980	0	0	20
80	7436	1		9980	0	0	20
81	7436	1		9980	0	0	20
82	7436	1		9980	0	0	20
83	7436	1		9980	0	0	20
84	7436	1		9980	0	0	20
85	7436	1		9980	0	0	20
86	7436	1		9980	0	0	20
87	7436	1		9980	0	0	20
88	7436	1		9980	0	0	20
89	7436	1		9980	0	0	20
90	7436	1		9980	0	0	20
91	7436	1		9980	0	0	20
92	7436	1		9980	0	0	20
93	7436	1		9980	0	0	20
94	7436	1		9980	0	0	20
95	7436	1		9980	0	0	20
96	7436	1		9980	0	0	20
97	7436	1		9980	0	0	20
98	7436	1		9980	0	0	20
99	7436	1		9980	0	0	20
