Character_Lv	Gacha_ItemTID	Gacha_Item_Number	Gacha_Cost	Rank1	Rank2	Rank3	Rank4
1	7436	1		7000	2000	900	100
2	7436	1		7000	2000	900	100
3	7436	1		7000	2000	900	100
4	7436	1		7000	2000	900	100
5	7436	1		7000	2000	900	100
6	7436	1		7000	2000	900	100
7	7436	1		7000	2000	900	100
8	7436	1		7000	2000	900	100
9	7436	1		7000	2000	900	100
10	7436	1		7000	2000	900	100
11	7436	1		7000	2000	900	100
12	7436	1		7000	2000	900	100
13	7436	1		7000	2000	900	100
14	7436	1		7000	2000	900	100
15	7436	1		7000	2000	900	100
16	7436	1		7000	2000	900	100
17	7436	1		7000	2000	900	100
18	7436	1		7000	2000	900	100
19	7436	1		7000	2000	900	100
20	7436	1		7000	2000	900	100
21	7436	1		7000	2000	900	100
22	7436	1		7000	2000	900	100
23	7436	1		7000	2000	900	100
24	7436	1		7000	2000	900	100
25	7436	1		7000	2000	900	100
26	7436	1		7000	2000	900	100
27	7436	1		7000	2000	900	100
28	7436	1		7000	2000	900	100
29	7436	1		7000	2000	900	100
30	7436	1		7000	2000	900	100
31	7436	1		7000	2000	900	100
32	7436	1		7000	2000	900	100
33	7436	1		7000	2000	900	100
34	7436	1		7000	2000	900	100
35	7436	1		7000	2000	900	100
36	7436	1		7000	2000	900	100
37	7436	1		7000	2000	900	100
38	7436	1		7000	2000	900	100
39	7436	1		7000	2000	900	100
40	7436	1		7000	2000	900	100
41	7436	1		7000	2000	900	100
42	7436	1		7000	2000	900	100
43	7436	1		7000	2000	900	100
44	7436	1		7000	2000	900	100
45	7436	1		7000	2000	900	100
46	7436	1		7000	2000	900	100
47	7436	1		7000	2000	900	100
48	7436	1		7000	2000	900	100
49	7436	1		7000	2000	900	100
50	7436	1		7000	2000	900	100
51	7436	1		7000	2000	900	100
52	7436	1		7000	2000	900	100
53	7436	1		7000	2000	900	100
54	7436	1		7000	2000	900	100
55	7436	1		7000	2000	900	100
56	7436	1		7000	2000	900	100
57	7436	1		7000	2000	900	100
58	7436	1		7000	2000	900	100
59	7436	1		7000	2000	900	100
60	7436	1		7000	2000	900	100
61	7436	1		7000	2000	900	100
62	7436	1		7000	2000	900	100
63	7436	1		7000	2000	900	100
64	7436	1		7000	2000	900	100
65	7436	1		7000	2000	900	100
66	7436	1		7000	2000	900	100
67	7436	1		7000	2000	900	100
68	7436	1		7000	2000	900	100
69	7436	1		7000	2000	900	100
70	7436	1		7000	2000	900	100
71	7436	1		7000	2000	900	100
72	7436	1		7000	2000	900	100
73	7436	1		7000	2000	900	100
74	7436	1		7000	2000	900	100
75	7436	1		7000	2000	900	100
76	7436	1		7000	2000	900	100
77	7436	1		7000	2000	900	100
78	7436	1		7000	2000	900	100
79	7436	1		7000	2000	900	100
80	7436	1		7000	2000	900	100
81	7436	1		7000	2000	900	100
82	7436	1		7000	2000	900	100
83	7436	1		7000	2000	900	100
84	7436	1		7000	2000	900	100
85	7436	1		7000	2000	900	100
86	7436	1		7000	2000	900	100
87	7436	1		7000	2000	900	100
88	7436	1		7000	2000	900	100
89	7436	1		7000	2000	900	100
90	7436	1		7000	2000	900	100
91	7436	1		7000	2000	900	100
92	7436	1		7000	2000	900	100
93	7436	1		7000	2000	900	100
94	7436	1		7000	2000	900	100
95	7436	1		7000	2000	900	100
96	7436	1		7000	2000	900	100
97	7436	1		7000	2000	900	100
98	7436	1		7000	2000	900	100
99	7436	1		7000	2000	900	100
