Character_Lv	Gacha_ItemTID	Gacha_Item_Number	Gacha_Cost	CharismaPoint	Rank1	Rank2	Rank3	Rank4
1				100	6390	3100	500	10
2				100	6390	3100	500	10
3				100	6390	3100	500	10
4				100	6390	3100	500	10
5				100	6390	3100	500	10
6				100	6390	3100	500	10
7				100	6390	3100	500	10
8				100	6390	3100	500	10
9				100	6390	3100	500	10
10				100	6390	3100	500	10
11				100	6390	3100	500	10
12				100	6390	3100	500	10
13				100	6390	3100	500	10
14				100	6390	3100	500	10
15				100	6390	3100	500	10
16				100	6390	3100	500	10
17				100	6390	3100	500	10
18				100	6390	3100	500	10
19				100	6390	3100	500	10
20				100	6390	3100	500	10
21				100	6390	3100	500	10
22				100	6390	3100	500	10
23				100	6390	3100	500	10
24				100	6390	3100	500	10
25				100	6390	3100	500	10
26				100	6390	3100	500	10
27				100	6390	3100	500	10
28				100	6390	3100	500	10
29				100	6390	3100	500	10
30				100	6390	3100	500	10
31				100	6390	3100	500	10
32				100	6390	3100	500	10
33				100	6390	3100	500	10
34				100	6390	3100	500	10
35				100	6390	3100	500	10
36				100	6390	3100	500	10
37				100	6390	3100	500	10
38				100	6390	3100	500	10
39				100	6390	3100	500	10
40				100	6390	3100	500	10
41				100	6390	3100	500	10
42				100	6390	3100	500	10
43				100	6390	3100	500	10
44				100	6390	3100	500	10
45				100	6390	3100	500	10
46				100	6390	3100	500	10
47				100	6390	3100	500	10
48				100	6390	3100	500	10
49				100	6390	3100	500	10
50				100	6390	3100	500	10
51				100	6390	3100	500	10
52				100	6390	3100	500	10
53				100	6390	3100	500	10
54				100	6390	3100	500	10
55				100	6390	3100	500	10
56				100	6390	3100	500	10
57				100	6390	3100	500	10
58				100	6390	3100	500	10
59				100	6390	3100	500	10
60				100	6390	3100	500	10
61				100	6390	3100	500	10
62				100	6390	3100	500	10
63				100	6390	3100	500	10
64				100	6390	3100	500	10
65				100	6390	3100	500	10
66				100	6390	3100	500	10
67				100	6390	3100	500	10
68				100	6390	3100	500	10
69				100	6390	3100	500	10
70				100	6390	3100	500	10
71				100	6390	3100	500	10
72				100	6390	3100	500	10
73				100	6390	3100	500	10
74				100	6390	3100	500	10
75				100	6390	3100	500	10
76				100	6390	3100	500	10
77				100	6390	3100	500	10
78				100	6390	3100	500	10
79				100	6390	3100	500	10
80				100	6390	3100	500	10
81				100	6390	3100	500	10
82				100	6390	3100	500	10
83				100	6390	3100	500	10
84				100	6390	3100	500	10
85				100	6390	3100	500	10
86				100	6390	3100	500	10
87				100	6390	3100	500	10
88				100	6390	3100	500	10
89				100	6390	3100	500	10
90				100	6390	3100	500	10
91				100	6390	3100	500	10
92				100	6390	3100	500	10
93				100	6390	3100	500	10
94				100	6390	3100	500	10
95				100	6390	3100	500	10
96				100	6390	3100	500	10
97				100	6390	3100	500	10
98				100	6390	3100	500	10
99				100	6390	3100	500	10
