Character_Lv	Gacha_ItemTID	Gacha_Item_Number	Gacha_Cost	Rank1	Rank2	Rank3	Rank4
1	7062	1		5000	4300	630	70
2	7062	1		5000	4300	630	70
3	7062	1		5000	4300	630	70
4	7062	1		5000	4300	630	70
5	7062	1		5000	4300	630	70
6	7062	1		5000	4300	630	70
7	7062	1		5000	4300	630	70
8	7062	1		5000	4300	630	70
9	7062	1		5000	4300	630	70
10	7062	1		5000	4300	630	70
11	7062	1		5000	4300	630	70
12	7062	1		5000	4300	630	70
13	7062	1		5000	4300	630	70
14	7062	1		5000	4300	630	70
15	7062	1		5000	4300	630	70
16	7062	1		5000	4300	630	70
17	7062	1		5000	4300	630	70
18	7062	1		5000	4300	630	70
19	7062	1		5000	4300	630	70
20	7062	1		5000	4300	630	70
21	7062	1		5000	4300	630	70
22	7062	1		5000	4300	630	70
23	7062	1		5000	4300	630	70
24	7062	1		5000	4300	630	70
25	7062	1		5000	4300	630	70
26	7062	1		5000	4300	630	70
27	7062	1		5000	4300	630	70
28	7062	1		5000	4300	630	70
29	7062	1		5000	4300	630	70
30	7062	1		5000	4300	630	70
31	7062	1		5000	4300	630	70
32	7062	1		5000	4300	630	70
33	7062	1		5000	4300	630	70
34	7062	1		5000	4300	630	70
35	7062	1		5000	4300	630	70
36	7062	1		5000	4300	630	70
37	7062	1		5000	4300	630	70
38	7062	1		5000	4300	630	70
39	7062	1		5000	4300	630	70
40	7062	1		5000	4300	630	70
41	7062	1		5000	4300	630	70
42	7062	1		5000	4300	630	70
43	7062	1		5000	4300	630	70
44	7062	1		5000	4300	630	70
45	7062	1		5000	4300	630	70
46	7062	1		5000	4300	630	70
47	7062	1		5000	4300	630	70
48	7062	1		5000	4300	630	70
49	7062	1		5000	4300	630	70
50	7062	1		5000	4300	630	70
51	7062	1		5000	4300	630	70
52	7062	1		5000	4300	630	70
53	7062	1		5000	4300	630	70
54	7062	1		5000	4300	630	70
55	7062	1		5000	4300	630	70
56	7062	1		5000	4300	630	70
57	7062	1		5000	4300	630	70
58	7062	1		5000	4300	630	70
59	7062	1		5000	4300	630	70
60	7062	1		5000	4300	630	70
61	7062	1		5000	4300	630	70
62	7062	1		5000	4300	630	70
63	7062	1		5000	4300	630	70
64	7062	1		5000	4300	630	70
65	7062	1		5000	4300	630	70
66	7062	1		5000	4300	630	70
67	7062	1		5000	4300	630	70
68	7062	1		5000	4300	630	70
69	7062	1		5000	4300	630	70
70	7062	1		5000	4300	630	70
71	7062	1		5000	4300	630	70
72	7062	1		5000	4300	630	70
73	7062	1		5000	4300	630	70
74	7062	1		5000	4300	630	70
75	7062	1		5000	4300	630	70
76	7062	1		5000	4300	630	70
77	7062	1		5000	4300	630	70
78	7062	1		5000	4300	630	70
79	7062	1		5000	4300	630	70
80	7062	1		5000	4300	630	70
81	7062	1		5000	4300	630	70
82	7062	1		5000	4300	630	70
83	7062	1		5000	4300	630	70
84	7062	1		5000	4300	630	70
85	7062	1		5000	4300	630	70
86	7062	1		5000	4300	630	70
87	7062	1		5000	4300	630	70
88	7062	1		5000	4300	630	70
89	7062	1		5000	4300	630	70
90	7062	1		5000	4300	630	70
91	7062	1		5000	4300	630	70
92	7062	1		5000	4300	630	70
93	7062	1		5000	4300	630	70
94	7062	1		5000	4300	630	70
95	7062	1		5000	4300	630	70
96	7062	1		5000	4300	630	70
97	7062	1		5000	4300	630	70
98	7062	1		5000	4300	630	70
99	7062	1		5000	4300	630	70
