Character_Lv	Gacha_ItemTID	Gacha_Item_Number	Gacha_Cost	Rank1	Rank2	Rank3	Rank4
1	7436	1		1000	2200	5300	1500
2	7436	1		1000	2200	5300	1500
3	7436	1		1000	2200	5300	1500
4	7436	1		1000	2200	5300	1500
5	7436	1		1000	2200	5300	1500
6	7436	1		1000	2200	5300	1500
7	7436	1		1000	2200	5300	1500
8	7436	1		1000	2200	5300	1500
9	7436	1		1000	2200	5300	1500
10	7436	1		1000	2200	5300	1500
11	7436	1		1000	2200	5300	1500
12	7436	1		1000	2200	5300	1500
13	7436	1		1000	2200	5300	1500
14	7436	1		1000	2200	5300	1500
15	7436	1		1000	2200	5300	1500
16	7436	1		1000	2200	5300	1500
17	7436	1		1000	2200	5300	1500
18	7436	1		1000	2200	5300	1500
19	7436	1		1000	2200	5300	1500
20	7436	1		1000	2200	5300	1500
21	7436	1		1000	2200	5300	1500
22	7436	1		1000	2200	5300	1500
23	7436	1		1000	2200	5300	1500
24	7436	1		1000	2200	5300	1500
25	7436	1		1000	2200	5300	1500
26	7436	1		1000	2200	5300	1500
27	7436	1		1000	2200	5300	1500
28	7436	1		1000	2200	5300	1500
29	7436	1		1000	2200	5300	1500
30	7436	1		1000	2200	5300	1500
31	7436	1		1000	2200	5300	1500
32	7436	1		1000	2200	5300	1500
33	7436	1		1000	2200	5300	1500
34	7436	1		1000	2200	5300	1500
35	7436	1		1000	2200	5300	1500
36	7436	1		1000	2200	5300	1500
37	7436	1		1000	2200	5300	1500
38	7436	1		1000	2200	5300	1500
39	7436	1		1000	2200	5300	1500
40	7436	1		1000	2200	5300	1500
41	7436	1		1000	2200	5300	1500
42	7436	1		1000	2200	5300	1500
43	7436	1		1000	2200	5300	1500
44	7436	1		1000	2200	5300	1500
45	7436	1		1000	2200	5300	1500
46	7436	1		1000	2200	5300	1500
47	7436	1		1000	2200	5300	1500
48	7436	1		1000	2200	5300	1500
49	7436	1		1000	2200	5300	1500
50	7436	1		1000	2200	5300	1500
51	7436	1		1000	2200	5300	1500
52	7436	1		1000	2200	5300	1500
53	7436	1		1000	2200	5300	1500
54	7436	1		1000	2200	5300	1500
55	7436	1		1000	2200	5300	1500
56	7436	1		1000	2200	5300	1500
57	7436	1		1000	2200	5300	1500
58	7436	1		1000	2200	5300	1500
59	7436	1		1000	2200	5300	1500
60	7436	1		1000	2200	5300	1500
61	7436	1		1000	2200	5300	1500
62	7436	1		1000	2200	5300	1500
63	7436	1		1000	2200	5300	1500
64	7436	1		1000	2200	5300	1500
65	7436	1		1000	2200	5300	1500
66	7436	1		1000	2200	5300	1500
67	7436	1		1000	2200	5300	1500
68	7436	1		1000	2200	5300	1500
69	7436	1		1000	2200	5300	1500
70	7436	1		1000	2200	5300	1500
71	7436	1		1000	2200	5300	1500
72	7436	1		1000	2200	5300	1500
73	7436	1		1000	2200	5300	1500
74	7436	1		1000	2200	5300	1500
75	7436	1		1000	2200	5300	1500
76	7436	1		1000	2200	5300	1500
77	7436	1		1000	2200	5300	1500
78	7436	1		1000	2200	5300	1500
79	7436	1		1000	2200	5300	1500
80	7436	1		1000	2200	5300	1500
81	7436	1		1000	2200	5300	1500
82	7436	1		1000	2200	5300	1500
83	7436	1		1000	2200	5300	1500
84	7436	1		1000	2200	5300	1500
85	7436	1		1000	2200	5300	1500
86	7436	1		1000	2200	5300	1500
87	7436	1		1000	2200	5300	1500
88	7436	1		1000	2200	5300	1500
89	7436	1		1000	2200	5300	1500
90	7436	1		1000	2200	5300	1500
91	7436	1		1000	2200	5300	1500
92	7436	1		1000	2200	5300	1500
93	7436	1		1000	2200	5300	1500
94	7436	1		1000	2200	5300	1500
95	7436	1		1000	2200	5300	1500
96	7436	1		1000	2200	5300	1500
97	7436	1		1000	2200	5300	1500
98	7436	1		1000	2200	5300	1500
99	7436	1		1000	2200	5300	1500
