TID	ItemName	Level	SuitableLevelMin	SuitableLevelMax	Class	Race	Gender	Part	Kind	ItemType	Type	SubType	ExtraType	BoundType	EventItem	PCBang Only	Villain Only	GroupID	DropRate	DropRank	font color	Spirit Type	NPC Price	PC Price	NPC Charisma Price	NPC Shrine Coin	PC Charisma Price	PC Shrine Coin	NPC Arena Coin	Stack	Hand	Rank	DUR	MinSocket	MaxSocket	MinOption	MaxOption	ATK Range	ATK Speed	Physical_Min_Damage	Physical_Max_Damage	Magic_Min_Damage	Water_Min_Damage	Fire_Min_Damage	Earth_Min_Damage	Air_Min_Damage	Poison_Min_Damage	Ice_Min_Damage	Linghtning_Min_Damage	Magic_Max_Damage	Water_Max_Damage	Fire_Max_Damage	Earth_Max_Damage	Air_Max_Damage	Poison_Max_Damage	Ice_Max_Damage	Linghtning_Max_Damage	Physical_Defense_Point	Physical_ATKRate	Magic_ATKRate 	PDR	BlockRate	Magic_Defense_Point	Water_Defense_Point	Fire_Defense_Point	Earth_Defense_Point	Air_Defense_Point	Poison_Defense_Point	Ice_Defense_Point	Linghtning_Defense_Point	Magic_Defense_Rate	Water_Defense_Rate	Fire_Defense_Rate	Earth_Defense_Rate	Air_Defense_Rate	Poison_Defense_Rate	Ice_Defense_Rate	Linghtning_Defense_Rate	CON_Bonus_Point	STR_Bonus_Point	DEX_Bonus_Point	INT_Bonus_Point	Wis_Bonus_Point	Apply Effect Count	Apply Effect Time	Use Interval	HP	SP	MP	Rune Attribute	Use skill id	Use skill level	Polymorph Id	Polymorph Dur	FirstCategory	FirstCategoryName	SecondCategory	SecondCategoryName	PhysicalRank	Hp_Buff	Mp_Buff	Attack_Buff	Defense_Buff	Run_Buff	Cash	Destination	RemainTime	ExpireTime	classify_id	CanStopUsingItem	CashItemUseType	EnableOnRide	Buyer_Type	Using_Type	OptionTID	PotionType2	Link_id	Skill_plus	Gambling	QuestItem	Gacha_Type_Numer	GachaRank	Gacha_Point_Type	StaminaCure	RemainPetStamina	GachaMinLv	GachaMaxLv	Item_section_num	Heroic_Min_Damage	Heroic_Max_Damage	Heroic_Defense_Point
1	Short Bow	1	1	6	2	1;2;3		9	2	0	10							1	400	1			99	10							2	1	93	1	4	1	3	2100	75	7	9																																																						1	Normal Weapon	18	Bow	8																				1												
2	Bastard Sword	23	17	28	1	1;2		10	2	0	4							1	400	1			21000	525							2	1	69	1	5	1	3	200	56	40	57																																																						1	Normal Weapon	15	Two-Handed Sword	10																				1												
3	Bud Trophy							10	2	0	0																				1							0	0	0	0																																																																																										
4	Club	1	1	6	1	1;2		10	2	0	2							1	400	1			100	5							1	1	74	1	4	1	3	180	60	9	21																																																						1	Normal Weapon	13	One-Handed Blunt	8																				1												
5	Lightning Elemental Stone									1	2											7								99																																																																																																					
6	Light Crossbow	1	1	6	2	1;2		10	2	0	11							1	400	1			100	5							2	1	83	1	4	1	3	2000	67	6	13																																																						1	Normal Weapon	19	Crossbow	8																				1												
7	Agility Elemental Stone									1	2											103								99																																																																																																					
8	Wood Shield	1	1	6	1	1;2		9	4	0								15	400	1			42	5							1	1	54	1	2	1	3																					1				2																																	11	Normal Armor	111	Shield	8																				1												
9	Glass Wand	1	1	6	4	1;2		10	2	0	16							1	400	1			100	5							2	1	74	1	4	1	3	1800	60	14	16																																																						1	Normal Weapon	22	Wand	8																				1												
10	Short Axe	1	1	6	1	1;2		10	2	0	1							1	400	1			100	5							1	1	81	1	4	1	3	180	65	10	16																																																						1	Normal Weapon	12	One-Handed Axe	8																				1												
11	Short Sword	1	1	6	1	1;2;3		10	2	0	0							1	400	1			100	5							1	1	88	1	4	1	3	180	71	11	13																																																						1	Normal Weapon	11	One-Handed Sword	8																				1												
12	Wood Staff	1	1	6	4	1;2;3		10	2	0	14							1	400	1			100	5							2	1	63	1	4	1	3	1800	51	12	24																																																						1	Normal Weapon	21	Staff	8																				1												
13	Battle Poleaxe	1	1	6	1	1;2		10	2	0	8							1	400	1			100	5							2	1	68	1	5	1	3	200	55	5	28																																																						1	Normal Weapon	14	Two-Handed Halberd	8																				1												
