MonsterName	MonsterTID	ItemCount	ItemName	ItemTID	Min	Max	Rate
Taravan	15	2		5018	1	1	10
Taravan	15	2		1856	1	1	500
Taravan	15	2		1861	1	1	500
Taravan	15	2		1891	1	1	500
Taravan	15	2		1866	1	1	500
Taravan	15	2		1871	1	1	500
Taravan	15	2		1876	1	1	500
Taravan	15	2		1881	1	1	500
Taravan	15	2		1886	1	1	500
Taravan	15	2		6075	1	1	500
Bronze Dragon Cid	16	2		451	1	1	100000
Polgo	21	2		451	1	1	100000
Spriggan Lord	22	1		451	1	1	100000
Hydra	24	2		5008	1	1	30
Hydra	24	2		5018	1	1	10
Hydra	24	2		1856	1	1	500
Hydra	24	2		1861	1	1	500
Hydra	24	2		1891	1	1	500
Hydra	24	2		1866	1	1	500
Hydra	24	2		1871	1	1	500
Hydra	24	2		1876	1	1	500
Hydra	24	2		1881	1	1	500
Hydra	24	2		1886	1	1	500
Hydra	24	2		6075	1	1	500
Ciroro	25	2		451	1	1	100000
Torge Lord	27	1		1857	1	1	500
Torge Lord	27	1		1862	1	1	500
Torge Lord	27	1		1892	1	1	500
Torge Lord	27	1		1867	1	1	500
Torge Lord	27	1		1872	1	1	500
Torge Lord	27	1		1877	1	1	500
Torge Lord	27	1		1882	1	1	500
Torge Lord	27	1		1887	1	1	500
Torge Lord	27	1		6076	1	1	500
Suddener	28	2		451	1	1	100000
Manticore King	29	2		5015	1	1	20
Manticore King	29	2		5016	1	1	25
Manticore King	29	2		5017	1	1	30
Manticore King	29	2		1856	1	1	500
Manticore King	29	2		1861	1	1	500
Manticore King	29	2		1891	1	1	500
Manticore King	29	2		1866	1	1	500
Manticore King	29	2		1871	1	1	500
Manticore King	29	2		1876	1	1	500
Manticore King	29	2		1881	1	1	500
Manticore King	29	2		1886	1	1	500
Manticore King	29	2		6075	1	1	500
Bullod	30	2		5015	1	1	20
Bullod	30	2		5016	1	1	25
Bullod	30	2		5017	1	1	30
Bullod	30	2		1856	1	1	500
Bullod	30	2		1861	1	1	500
Bullod	30	2		1891	1	1	500
Bullod	30	2		1866	1	1	500
Bullod	30	2		1871	1	1	500
Bullod	30	2		1876	1	1	500
Bullod	30	2		1881	1	1	500
Bullod	30	2		1886	1	1	500
Bullod	30	2		6075	1	1	500
Event Skeleton [Ice World]	32	2		7494	1	1	100000
Event Skeleton [Ice World]	32	2		4803	1	1	100000
Troll Boss	34	2		5007	1	1	20
Troll Boss	34	2		5018	1	1	20
Troll Boss	34	2		5021	1	1	40
Troll Boss	34	2		5012	1	1	40
Troll Boss	34	2		5013	1	1	40
Troll Boss	34	2		5014	1	1	40
Troll Boss	34	2		5024	1	1	40
Troll Boss	34	2		5023	1	1	40
Troll Boss	34	2		5009	1	1	40
Troll Boss	34	2		6053	1	1	1500
Troll Boss	34	2		4755	1	1	100000
Wyvern	38	2		5011	1	1	30
Wyvern	38	2		1857	1	1	500
Wyvern	38	2		1862	1	1	500
Wyvern	38	2		1892	1	1	500
Wyvern	38	2		1867	1	1	500
Wyvern	38	2		1872	1	1	500
Wyvern	38	2		1877	1	1	500
Wyvern	38	2		1882	1	1	500
Wyvern	38	2		1887	1	1	500
Wyvern	38	2		6076	1	1	500
Midas	40	2		5005	1	1	30
Midas	40	2		5028	1	1	30
Midas	40	2		1855	1	1	500
Midas	40	2		1860	1	1	500
Midas	40	2		1890	1	1	500
Midas	40	2		1865	1	1	500
Midas	40	2		1870	1	1	500
Midas	40	2		1875	1	1	500
Midas	40	2		1880	1	1	500
Midas	40	2		1885	1	1	500
Midas	40	2		6074	1	1	500
Meizo	41	2		451	1	1	100000
Victor	42	2		451	1	1	100000
Windigo	43	2		5006	1	1	20
Windigo	43	2		1855	1	1	500
Windigo	43	2		1860	1	1	500
Windigo	43	2		1890	1	1	500
Windigo	43	2		1865	1	1	500
Windigo	43	2		1870	1	1	500
Windigo	43	2		1875	1	1	500
Windigo	43	2		1880	1	1	500
Windigo	43	2		1885	1	1	500
Windigo	43	2		6074	1	1	500
Posto	44	2		5008	1	1	30
Posto	44	2		5018	1	1	10
Posto	44	2		1856	1	1	500
Posto	44	2		1861	1	1	500
Posto	44	2		1891	1	1	500
Posto	44	2		1866	1	1	500
Posto	44	2		1871	1	1	500
Posto	44	2		1876	1	1	500
Posto	44	2		1881	1	1	500
Posto	44	2		1886	1	1	500
Posto	44	2		6075	1	1	500
Boling	45	2		5008	1	1	30
Boling	45	2		5018	1	1	10
Boling	45	2		1856	1	1	500
Boling	45	2		1861	1	1	500
Boling	45	2		1891	1	1	500
Boling	45	2		1866	1	1	500
Boling	45	2		1871	1	1	500
Boling	45	2		1876	1	1	500
Boling	45	2		1881	1	1	500
Boling	45	2		1886	1	1	500
Boling	45	2		6075	1	1	500
Snare	46	2		451	1	1	100000
Uru	47	2		451	1	1	100000
Barva	48	2		451	1	1	100000
Elatus	49	1		1857	1	1	500
Elatus	49	1		1862	1	1	500
Elatus	49	1		1892	1	1	500
Elatus	49	1		1867	1	1	500
Elatus	49	1		1872	1	1	500
Elatus	49	1		1877	1	1	500
Elatus	49	1		1882	1	1	500
Elatus	49	1		1887	1	1	500
Elatus	49	1		6076	1	1	500
Barom	50	2		5007	1	1	10
Barom	50	2		1855	1	1	500
Barom	50	2		1860	1	1	500
Barom	50	2		1890	1	1	500
Barom	50	2		1865	1	1	500
Barom	50	2		1870	1	1	500
Barom	50	2		1875	1	1	500
Barom	50	2		1880	1	1	500
Barom	50	2		1885	1	1	500
Barom	50	2		6074	1	1	500
Flying	51	1		451	1	1	100000
Sizel	52	1		1857	1	1	500
Sizel	52	1		1862	1	1	500
Sizel	52	1		1892	1	1	500
Sizel	52	1		1867	1	1	500
Sizel	52	1		1872	1	1	500
Sizel	52	1		1877	1	1	500
Sizel	52	1		1882	1	1	500
Sizel	52	1		1887	1	1	500
Sizel	52	1		6076	1	1	500
Krabb	53	2		5019	1	1	30
Krabb	53	2		5009	1	1	20
Krabb	53	2		1856	1	1	500
Krabb	53	2		1861	1	1	500
Krabb	53	2		1891	1	1	500
Krabb	53	2		1866	1	1	500
Krabb	53	2		1871	1	1	500
Krabb	53	2		1876	1	1	500
Krabb	53	2		1881	1	1	500
Krabb	53	2		1886	1	1	500
Krabb	53	2		6075	1	1	500
Kelkel	54	2		5019	1	1	30
Kelkel	54	2		5009	1	1	20
Kelkel	54	2		1856	1	1	500
Kelkel	54	2		1861	1	1	500
Kelkel	54	2		1891	1	1	500
Kelkel	54	2		1866	1	1	500
Kelkel	54	2		1871	1	1	500
Kelkel	54	2		1876	1	1	500
Kelkel	54	2		1881	1	1	500
Kelkel	54	2		1886	1	1	500
Kelkel	54	2		6075	1	1	500
Gorer	55	2		5008	1	1	30
Gorer	55	2		5018	1	1	10
Gorer	55	2		1856	1	1	500
Gorer	55	2		1861	1	1	500
Gorer	55	2		1891	1	1	500
Gorer	55	2		1866	1	1	500
Gorer	55	2		1871	1	1	500
Gorer	55	2		1876	1	1	500
Gorer	55	2		1881	1	1	500
Gorer	55	2		1886	1	1	500
Gorer	55	2		6075	1	1	500
Switch	56	1		5005	1	1	30
Hillary	57	1		1855	1	1	500
Hillary	57	1		1860	1	1	500
Hillary	57	1		1890	1	1	500
Hillary	57	1		1865	1	1	500
Hillary	57	1		1870	1	1	500
Hillary	57	1		1875	1	1	500
Hillary	57	1		1880	1	1	500
Hillary	57	1		1885	1	1	500
Hillary	57	1		6074	1	1	500
Vissil	58	2		5006	1	1	20
Vissil	58	2		1855	1	1	500
Vissil	58	2		1860	1	1	500
