LotteryBoxTID	LotteryBoxName	PotItemTID	PotItemName	MinStack	MaxStack	Rate
3021	Gambler's Copper Box	50067	Hero: Superior <Knight - 30 days>	1	1	10000
3022	Gambler's Silver Box	50068	Hero: Superior <Archer - 30 days>	1	1	10000
3023	Gambler's Gold Box	50069	Hero: Superior <Mage - 30 days>	1	1	10000
3316	Orange Balloon	6007	Lens Stone+	5000	5000	100000
3317	Yellow Balloon	14582	Extra-Large Mana Potion	999	999	10000
3318	Green Balloon	12684	Legend of Roux	1	1	2500
3318	Green Balloon	12688	Legend of Roux	1	1	2500
3318	Green Balloon	12692	Legend of Roux	1	1	2500
3318	Green Balloon	12687	Mitchell	1	1	2500
3318	Green Balloon	12691	Mitchell	1	1	2500
3318	Green Balloon	12695	Mitchell	1	1	2500
3318	Green Balloon	13440	Milfis Candy Cart	1	1	2500
3318	Green Balloon	13446	Milfis Candy Cart	1	1	2500
3318	Green Balloon	13452	Milfis Candy Cart	1	1	2500
3318	Green Balloon	13438	Phoenix	1	1	1500
3318	Green Balloon	13444	Phoenix	1	1	1500
3318	Green Balloon	13450	Phoenix	1	1	1500
3318	Green Balloon	13441	Deerwolf	1	1	1000
3318	Green Balloon	13447	Deerwolf	1	1	1000
3318	Green Balloon	13453	Deerwolf	1	1	1000
3319	Blue Balloon	13593	Elixir of Ugdrasil	1	2	1500
3319	Blue Balloon	13594	Elixir of Dikain	1	2	2250
3319	Blue Balloon	13595	Elixir of Gracia	1	2	1500
3319	Blue Balloon	13596	Elixir of Zian	1	2	1500
3319	Blue Balloon	13597	Elixir of Syripus	1	2	2250
3320	Indigo Balloon	13593	Elixir of Ugdrasil	5	5	2500
3320	Indigo Balloon	13594	Elixir of Dikain	5	5	1250
3320	Indigo Balloon	13595	Elixir of Gracia	5	5	2500
3320	Indigo Balloon	13596	Elixir of Zian	5	5	2500
3320	Indigo Balloon	13597	Elixir of Syripus	5	5	1250
3321	Purple Balloon	14592	Scarlet Wings <Lv4>	1	1	2222
3321	Purple Balloon	14575	Scarlet Wings <Lv5>	1	1	1111
3321	Purple Balloon	14593	Ashen Mist Wings <Lv4>	1	1	2222
3321	Purple Balloon	14572	Ashen Mist Wings <Lv5>	1	1	1111
3321	Purple Balloon	14594	Rosy Aura Wings <Lv4>	1	1	2222
3321	Purple Balloon	14569	Rosy Aura Wings <Lv5>	1	1	1111
3606	Christmas Socks	14573	Scarlet Cloak of Elemental Mastery <Lv5>	1	1	1111
3606	Christmas Socks	14574	Scarlet Cloak of Dimension Mastery <Lv5>	1	1	1111
3606	Christmas Socks	14595	Scarlet Cloak of Elemental Mastery <Lv4>	1	1	2222
3606	Christmas Socks	14596	Scarlet Cloak of Dimension Mastery <Lv4>	1	1	2222
3606	Christmas Socks	14567	Rosy Aura Cloak of Elemental Mastery <Lv5>	1	1	1111
3606	Christmas Socks	14568	Rosy Aura Cloak of Dimension Mastery <Lv5>	1	1	1111
3606	Christmas Socks	14599	Rosy Aura Cloak of Elemental Mastery <Lv4>	1	1	2222
3606	Christmas Socks	14600	Rosy Aura Cloak of Dimension Mastery <Lv4>	1	1	2222
3606	Christmas Socks	14570	Ashen Mist Cloak of Elemental Mastery <Lv5>	1	1	1111
3606	Christmas Socks	14571	Ashen Mist Cloak of Dimension Mastery <Lv5>	1	1	1111
3606	Christmas Socks	14597	Ashen Mist Cloak of Elemental Mastery <Lv4>	1	1	2222
3606	Christmas Socks	14598	Ashen Mist Cloak of Dimension Mastery <Lv4>	1	1	2222
3607	Santa Claus Gift Box	50075	Hero: Superior <Elementalist - 30 days>	1	1	10000
