tid	Description	Upper_Body	Lower_Body	Weapon	Shield	Head	Ring	Necklace	Shoes	Gloves	Refined	Gacha	Type	PointType	Item_Level_Min	Item_Level_Max	Level_limit	Rank_Min	Rank_Max	Probability	Skill_level	Skill_id	ATK_Range_bonus	ATK_Speed_bonus	Movement_Run_bonus	PhysicalDamage	PhysicalAttackResist	SkillBlockRate	MagicDamage	WaterDamage	FireDamage	EarthDamage	AirDamage	PoisonDamage	IceDamage	LinghtningDamage	Fire Res.	Water Res.	Air Res.	Earth Res.	Magic Res.	Poison Res.	Ice Res.	Thunder Res.	Physical_Defense_Point	Physical_ATKRate	Magic_ATKRate 	BlockRate	Magic_Defense_Point	Water_Defense_Point	Fire_Defense_Point	Earth_Defense_Point	Air_Defense_Point	Poison_Defense_Point	Ice_Defense_Point	Linghtning_Defense_Point	Hp_Bonus_Point	Mp_Bonus_Point	Hp_Bonus_Percent	Mp_Bonus_Percent	Str_Bonus_Point	Dex_Bonus_Point	Int_Bonus_Point	Con_Bonus_Point	Wis_Bonus_Point	PhysicalRank	skill_type	duration	skill_rate	Critical	stun_time	damage_convert_hp	regen_hp	regen_mp	dot_damage_time	skill_cast	skill_delay	skill_levelup	bonus_exp	bonus_money	bonus_drop_rate	evade_rate	dodge_rate	visible	Level_min	Level_max	Link_id	Heroic_Min_Damage	Heroic_Max_Damage	Heroic_Defense_Point	Ignore_Physical_Defense_Rate	Ignore_Attribute_Defense_Rate	Critical_Defense_Rate	ReinforcementRate	Ignore_PhysicalAttackResist	Ignore_BlockRate	Ignore_SkillBlockRate	Ignore_EvadeRate	Ignore_DodgeRate	Ignore_CriticalDefenseRate	Ignore_StunDefenseRate	Add_Debuff_Duration
1	Damage +1												1				1	1	4	450						1																																																										¡Û																		
2	Damage +2												1				1	1	4	400						2																																																										¡Û																		
3	Damage +3												1				1	1	4	100						3																																																										¡Û																		
4	Damage +4												1				1	1	4	40						4																																																										¡Û																		
5	Damage +5												1				1	1	4	10						5																																																										¡Û																		
6	Damage +6												1				1	1	4	5						6																																																										¡Û																		
7	Damage +7												1				1	1	4	4						7																																																										¡Û																		
8	Damage +8												1				1	1	4	3						8																																																										¡Û																		
9	Damage +9												1				1	1	4	2						9																																																										¡Û																		
10	Damage +10												1				1	1	4	1						10																																																										¡Û																		
11	Resistance +2%												2				1	1	4	500							2																																																									¡Û																		
12	Resistance +3%												2				1	1	4	400							3																																																									¡Û																		
13	Resistance +4%												2				1	1	4	100							4																																																									¡Û																		
14	Resistance +5%												2				1	1	4	50							5																																																									¡Û																		
15	Resistance +6%												2				1	1	4	5							6																																																									¡Û																		
16	Skill Block +2%												3				1	1	4	500								2																																																								¡Û																		
17	Skill Block +3%												3				1	1	4	400								3																																																								¡Û																		
18	Skill Block +4%												3				1	1	4	100								4																																																								¡Û																		
19	Skill Block +5%												3				1	1	4	50								5																																																								¡Û																		
20	Skill Block +6%												3				1	1	4	5								6																																																								¡Û																		
21	Max. HP +10												4				1	1	4	500																																					10																											¡Û																		
22	Max. HP +20												4				1	1	4	400																																					20																											¡Û																		
23	Max. HP +30												4				1	1	4	100																																					30																											¡Û																		
24	Max. HP +40												4				1	1	4	50																																					40																											¡Û																		
25	Max. HP +50												4				1	1	4	5																																					50																											¡Û																		
26	Max. Mana +10												5				1	1	4	500																																						10																										¡Û																		
27	Max. Mana +20												5				1	1	4	400																																						20																										¡Û																		
28	Max. Mana +30												5				1	1	4	100																																						30																										¡Û																		
29	Max. Mana +40												5				1	1	4	50																																						40																										¡Û																		
30	Max. Mana +50												5				1	1	4	5																																						50																										¡Û																		
31	Max. HP +4%												6	1			1	1	4	500																																							4																									¡Û																		
32	Max. HP +5%												6	1			1	1	4	400																																							5																									¡Û																		
33	Max. HP +6%												6	1			1	1	4	100																																							6																									¡Û																		
34	Max. HP +7%												6	1			1	1	4	50																																							7																									¡Û																		
35	Max. HP +8%												6	1			1	1	4	5																																							8																									¡Û																		
36	Max. Mana +4%												7	1			1	1	4	500																																								4																								¡Û																		
37	Max. Mana +5%												7	1			1	1	4	400																																								5																								¡Û																		
38	Max. Mana +6%												7	1			1	1	4	100																																								6																								¡Û																		
39	Max. Mana +7%												7	1			1	1	4	50																																								7																								¡Û																		
40	Max. Mana +8%												7	1			1	1	4	5																																								8																								¡Û																		
41	Movement Speed +1%												8	1			1	1	4	500					1																																																											¡Û																		
42	Movement Speed +2%												8	1			1	1	4	400					2																																																											¡Û																		
43	Movement Speed +3%												8	1			1	1	4	100					3																																																											¡Û																		
44	Movement Speed +4%												8	1			1	1	4	50					4																																																											¡Û																		
45	Movement Speed +5%												8	1			1	1	4	5					5																																																											¡Û																		
46	Attack Speed +1%												9	1			1	1	4	500				1																																																												¡Û																		
47	Attack Speed +2%												9	1			1	1	4	400				2																																																												¡Û																		
48	Attack Speed +3%												9	1			1	1	4	100				3																																																												¡Û																		
49	Attack Speed +4%												9	1			1	1	4	50				4																																																												¡Û																		
50	Attack Speed +5%												9	1			1	1	4	5				5																																																												¡Û																		
51	Strength +1												10				1	1	4	500																																									1																							¡Û																		
52	Strength +2												10				1	1	4	400																																									2																							¡Û																		
53	Strength +3												10				1	1	4	150																																									3																							¡Û																		
54	Strength +4												10				1	1	4	100																																									4																							¡Û																		
55	Strength +5												10				1	1	4	80																																									5																							¡Û																		
56	Strength +6												10				1	1	4	60																																									6																							¡Û																		
57	Strength +7												10				1	1	4	40																																									7																							¡Û																		
58	Strength +8												10				1	1	4	20																																									8																							¡Û																		
59	Strength +9												10				1	1	4	10																																									9																							¡Û																		
60	Strength +10												10				1	1	4	5																																									10																							¡Û																		
61	Agility +1												11				1	1	4	500																																										1																						¡Û																		
62	Agility +2												11				1	1	4	400																																										2																						¡Û																		
63	Agility +3												11				1	1	4	150																																										3																						¡Û																		
64	Agility +4												11				1	1	4	100																																										4																						¡Û																		
65	Agility +5												11				1	1	4	80																																										5																						¡Û																		
66	Agility +6												11				1	1	4	60																																										6																						¡Û																		
67	Agility +7												11				1	1	4	40																																										7																						¡Û																		
68	Agility +8												11				1	1	4	20																																										8																						¡Û																		
69	Agility +9												11				1	1	4	10																																										9																						¡Û																		
70	Agility +10												11				1	1	4	5																																										10																						¡Û																		
71	Intelligence +1												12				1	1	4	500																																											1																					¡Û																		
72	Intelligence +2												12				1	1	4	400																																											2																					¡Û																		
73	Intelligence +3												12				1	1	4	150																																											3																					¡Û																		
74	Intelligence +4												12				1	1	4	100																																											4																					¡Û																		
75	Intelligence +5												12				1	1	4	80																																											5																					¡Û																		
76	Intelligence +6												12				1	1	4	60																																											6																					¡Û																		
77	Intelligence +7												12				1	1	4	40																																											7																					¡Û																		
78	Intelligence +8												12				1	1	4	20																																											8																					¡Û																		
79	Intelligence +9												12				1	1	4	10																																											9																					¡Û																		
80	Intelligence +10												12				1	1	4	5																																											10																					¡Û																		
81	Stamina +1												13				1	1	4	500																																												1																				¡Û																		
82	Stamina +2												13				1	1	4	400																																												2																				¡Û																		
83	Stamina +3												13				1	1	4	100																																												3																				¡Û																		
84	Stamina +4												13				1	1	4	50																																												4																				¡Û																		
85	Stamina +5												13				1	1	4	10																																												5																				¡Û																		
86	Stamina +6												13				1	1	4	5																																												6																				¡Û																		
87	Stamina +7												13				1	1	4	4																																												7																				¡Û																		
88	Stamina +8												13				1	1	4	3																																												8																				¡Û																		
89	Stamina +9												13				1	1	4	2																																												9																				¡Û																		
90	Stamina +10												13				1	1	4	1																																												10																				¡Û																		
91	Wisdom +1												14				1	1	4	500																																													1																			¡Û																		
92	Wisdom +2												14				1	1	4	400																																													2																			¡Û																		
93	Wisdom +3												14				1	1	4	150																																													3																			¡Û																		
94	Wisdom +4												14				1	1	4	100																																													4																			¡Û																		
95	Wisdom +5												14				1	1	4	80																																													5																			¡Û																		
96	Wisdom +6												14				1	1	4	60																																													6																			¡Û																		
97	Wisdom +7												14				1	1	4	40																																													7																			¡Û																		
98	Wisdom +8												14				1	1	4	20																																													8																			¡Û																		
99	Wisdom +9												14				1	1	4	10																																													9																			¡Û																		
100	Wisdom +10												14				1	1	4	5																																													10																			¡Û																		
101	Defense +1												15				1	1	4	450																									1																																							¡Û																		
102	Defense +2												15				1	1	4	400																									2																																							¡Û																		
103	Defense +3												15				1	1	4	100																									3																																							¡Û																		
104	Defense +4												15				1	1	4	40																									4																																							¡Û																		
105	Defense +5												15				1	1	4	10																									5																																							¡Û																		
106	Defense +6												15				1	1	4	5																									6																																							¡Û																		
107	Defense +7												15				1	1	4	4																									7																																							¡Û																		
108	Defense +8												15				1	1	4	3																									8																																							¡Û																		
109	Defense +9												15				1	1	4	2																									9																																							¡Û																		
110	Defense +10												15				1	1	4	1																									10																																							¡Û																		
111	Attack Rating +1												16				1	1	4	500																										1																																						¡Û																		
112	Attack Rating +2												16				1	1	4	400																										2																																						¡Û																		
113	Attack Rating +3												16				1	1	4	100																										3																																						¡Û																		
114	Attack Rating +4												16				1	1	4	50																										4																																						¡Û																		
115	Attack Rating +5												16				1	1	4	5																										5																																						¡Û																		
116	Block +1%												17				1	1	4	500																												1																																				¡Û																		
117	Block +2%												17				1	1	4	400																												2																																				¡Û																		
118	Block +3%												17				1	1	4	100																												3																																				¡Û																		
119	Block +4%												17				1	1	4	50																												4																																				¡Û																		
120	Block +5%												17				1	1	4	5																												5																																				¡Û																		
121	Rank -1												18				1	1	4																																															-1																																				
122	Rank +1												18				1	1	4																																															1																																				
123	Rank +2												18				1	1	4																																															2																																				
124	Rank +3												18				1	1	4																																															3																																				
125	All Elemental Attacks +2												21				1	1	4	100									2	2	2	2	2																																																			¡Û																		
126	All Elemental Attacks +4												21				1	1	4	50									4	4	4	4	4																																																			¡Û																		
127	All Elemental Attacks +6												21				1	1	4	5									6	6	6	6	6																																																			¡Û																		
128	All Elemental Resistances +2%												20				1	1	4	100																													2	2	2	2	2																															¡Û																		
129	All Elemental Resistances +4%												20				1	1	4	50																													4	4	4	4	4																															¡Û																		
130	All Elemental Resistances +6%												20				1	1	4	5																													6	6	6	6	6																															¡Û																		
131	All Stats +2												19				1	1	4	400																																									2	2	2	2	2																			¡Û																		
132	All Stats +4												19				1	1	4	100																																									4	4	4	4	4																			¡Û																		
133	All Stats +6												19				1	1	4	50																																									6	6	6	6	6																			¡Û																		
134	All Stats +8												19				1	1	4	5																																									8	8	8	8	8																			¡Û																		
135	Max. HP +10%												6	1			1	1	4																																								10																									¡Û																		
136	All Elemental Resistances +10%												20				1	1	4																														10	10	10	10	10																															¡Û																		
