Item_Name	TID	ANTI Number	SecondCategory	Skill_Name	Skill_Level	Skill_Rate	Upper_Body	Lower_Body	Weapon	Shield	Head	Ring	Necklace	Shoes	Gloves	Success_Rate	Rank	Mount_Restriction_Level	Description
Attack Prayer Stone<Lv1>	463		32						O							100	1	1	Damage +1
Attack Prayer Stone<Lv3>	464		32						O							90	3	1	Damage +3
Blocking Accuracy Prayer Stone<Lv1>	465		33							O						100	1	1	Block +2%
Attack Accuracy Prayer Stone<Lv1>	466		32						O							100	1	1	Attack Rating +4
Attack Accuracy Prayer Stone<Lv2>	467		32						O							95	2	1	Attack Rating +6
Attack Accuracy Prayer Stone<Lv3>	468		32						O							90	3	1	Attack Rating +8
Blocking Accuracy Prayer Stone<Lv2>	469		33							O						95	2	1	Block +4%
Blocking Accuracy Prayer Stone<Lv3>	470		33							O						90	3	1	Block +6%
Defense Prayer Stone<Lv1>	471		33				O									100	1	1	Defense +2
Defense Prayer Stone<Lv3>	472		33				O									90	3	1	Defense +4
Life Prayer Stone<Lv1>	474	1	33				O									100	1	1	Max. HP +50
Life Prayer Stone<Lv3>	475	1	33				O									90	3	1	Max. HP +80
Mana Prayer Stone<Lv1>	480	2	33				O									100	1	1	Max. Mana +50
Mana Prayer Stone<Lv3>	481	2	33				O									90	3	1	Max. Mana +80
Cold Prayer Stone<Lv1>	588		32	Cold Prayer Stone <Small>	1	4			O							100	1	1	Ice damage +6 with a 4% chance to slow the target for 5 seconds
Cold Prayer Stone<Lv3>	589		32	Cold Prayer Stone <Medium>	1	6			O							90	3	1	Ice damage +8 with a 6% chance to slow the target for 5 seconds
Thunder Prayer Stone<Lv1>	591		32	Lightning Prayer Stone <Small>	1	4			O							100	1	1	Lightning damage +6 with a 4% chance to stun the target for 3 seconds
Thunder Prayer Stone<Lv3>	592		32	Lightning Prayer Stone <Medium>	1	6			O							90	3	1	Lightning damage +8 with a 6% chance to stun the target for 3 seconds
Deadly Poison Prayer Stone<Lv1>	594		32	Deadly Poison Prayer Stone <Small>	1	4			O							100	1	1	4% chance on hit to deal 15 poison damage every 3 seconds for 30 seconds
Deadly Poison Prayer Stone<Lv3>	595		32	Deadly Poison Prayer Stone <Medium>	1	6			O							90	3	1	6% chance on hit to deal 25 poison damage every 3 seconds for 30 seconds
Shield Resistance Prayer Stone Lv 1	597	202	32							O						100	1	1	5% chance to reflect 2 damage back to the attacker when hit
Shield Resistance Prayer Stone Lv 2	598	202	32							O						95	2	1	5% chance to reflect 4 damage back to the attacker when hit
Shield Resistance Prayer Stone Lv 3	599	202	32							O						90	3	1	5% chance to reflect 6 damage back to the attacker when hit
Stamina Buff Prayer Stone<Lv1>	600	4	33				O									100	1	1	Max. HP +6%
Stamina Buff Prayer Stone<Lv3>	601	4	33				O									90	3	1	Max. HP +10%
Curse Removal Prayer Stone Lv 1	603	21	33				O									100	1	1	Reduces poisoning duration effects by 4 seconds
Curse Removal Prayer Stone Lv 3	604	21	33				O									90	3	1	Reduces poisoning duration effects by 12 seconds
Curse Removal Prayer Stone Lv 2	605	21	33				O									95	2	1	Reduces poisoning duration effects by 8 seconds
Skill Awakening Prayer Stone Lv 1	606	22	33				O									100	1	1	Reduces slowing duration effects by 2 seconds
Skill Awakening Prayer Stone Lv 3	607	22	33				O									90	3	1	Reduces slowing duration effects by 6 seconds
Skill Awakening Prayer Stone Lv 2	608	22	33				O									95	2	1	Reduces slowing duration effects by 4 seconds
Conversion Prayer Stone Lv 1	609	23	33				O									100	1	1	Reduces your chance of being stunned by 5%
Conversion Prayer Stone Lv 3	610	23	33				O									90	3	1	Reduces your chance of being stunned 15%
Conversion Prayer Stone Lv 2	611	23	33				O									95	2	1	Reduces your chance of being stunned by 10%
Mana Replenishment Prayer Stone<Lv1>	613	6	34									O	O			100	1	1	Restores 4 mana every 10 seconds
Mana Replenishment Prayer Stone<Lv3>	614	6	34									O	O			90	3	1	Restores 6 mana every 10 seconds
Life Recovery Prayer Stone<Lv1>	616	7	34									O	O			100	1	1	Heals you for 4 health every 10 seconds
Life Recovery Prayer Stone<Lv3>	617	7	34									O	O			90	3	1	Heals you for 6 health every 10 seconds
Spirit Uplift Prayer Stone<Lv1>	840	5	33				O									100	1	1	Max. Mana +6%
Spirit Uplift Prayer Stone<Lv3>	841	5	33				O									90	3	1	Max. Mana +10%
Physical Resistance Prayer Stone<Lv1>	1169	8	33				O	O								100	1	1	Resistance +6%
Physical Resistance Prayer Stone<Lv3>	1170	8	33				O	O								90	3	1	Resistance +10%
Skill Block Prayer Stone<Lv1>	1172	9	33					O		O						100	1	1	Skill Block +4%
Skill Block Prayer Stone<Lv3>	1173	9	33					O		O						90	3	1	Skill Block +8%
Attack Prayer Stone<Lv2>	1829		32						O							95	2	1	Damage +2
Cold Prayer Stone<Lv2>	1831		32	Cold Prayer Stone <Option1>	1	5			O							95	2	1	Ice damage +7 with a 5% chance to slow the target for 5 seconds
