Level	Race	Class	Item_TID	Item_Stack	Item_Expire (sec)	Socket_Count	Socket (1/8)	Socket (2/8)	Socket (3/8)	Socket (4/8)	Socket (5/8)	Socket (6/8)	Socket (7/8)	Socket (8/8)
1	1	1	6608	1	0									
1	1	2	6609	1	0									
1	1	4	6610	1	0									
1	2	1	6611	1	0									
1	2	2	6612	1	0									
1	2	4	6613	1	0									
1	3	1	6614	1	0									
1	3	2	6615	1	0									
1	3	4	6616	1	0									
1	0	0	11032	3	0									
1	0	0	190	99	0									
1	0	0	193	99	0									
1	0	0	7594	1	0									
1	1	1	3951	1	5184000	4	1170	607	604	601				
1	1	1	3953	1	5184000	2	1862	1892						
1	1	1	3954	1	5184000	2	1170	1173						
1	1	1	3955	1	5184000	2	1857	6076						
1	1	1	3956	1	5184000	1	1867							
1	1	2	3917	1	5184000	4	1170	607	604	601				
1	1	2	3919	1	5184000	2	1862	1892						
1	1	2	3920	1	5184000	2	1170	1173						
1	1	2	3921	1	5184000	2	1857	6076						
1	1	2	3922	1	5184000	1	1882							
1	1	4	3981	1	5184000	4	1170	607	604	601				
1	1	4	3983	1	5184000	2	1862	1892						
1	1	4	3984	1	5184000	2	1170	1173						
1	1	4	3985	1	5184000	2	1857	6076						
1	1	4	3986	1	5184000	1	1882							
1	2	1	4522	1	5184000	4	1170	607	604	601				
1	2	1	4524	1	5184000	2	1862	1892						
1	2	1	4525	1	5184000	2	1170	1173						
1	2	1	4526	1	5184000	2	1857	6076						
1	2	1	4547	1	5184000	1	1867							
1	2	2	4462	1	5184000	4	1170	607	604	601				
1	2	2	4464	1	5184000	2	1862	1892						
1	2	2	4465	1	5184000	2	1170	1173						
1	2	2	4466	1	5184000	2	1857	6076						
1	2	2	4487	1	5184000	1	1882							
1	2	4	4492	1	5184000	4	1170	607	604	601				
1	2	4	4494	1	5184000	2	1862	1892						
1	2	4	4495	1	5184000	2	1170	1173						
1	2	4	4496	1	5184000	2	1857	6076						
1	2	4	4517	1	5184000	1	1882							
1	3	1	5739	1	5184000	4	1170	607	604	601				
1	3	1	5740	1	5184000	2	1862	1892						
1	3	1	5741	1	5184000	2	1170	1173						
1	3	1	5742	1	5184000	2	1857	6076						
1	3	1	5755	1	5184000	1	1867							
1	3	2	4099	1	5184000	4	1170	607	604	601				
1	3	2	4405	1	5184000	2	1862	1892						
1	3	2	4406	1	5184000	2	1170	1173						
1	3	2	4407	1	5184000	2	1857	6076						
1	3	2	4428	1	5184000	1	1882							
1	3	4	4433	1	5184000	4	1170	607	604	601				
1	3	4	4435	1	5184000	2	1862	1892						
1	3	4	4436	1	5184000	2	1170	1173						
1	3	4	4437	1	5184000	2	1857	6076						
1	3	4	4458	1	5184000	1	1882							
1	0	0	20025	1000	0									
1	0	0	20024	3	0									
10	0	0	7387	3	0									
10	0	0	232	300	0									
10	0	0	234	300	0									
10	0	0	9774	1	0									
10	0	0	11487	1	2592000	1	9050							
10	0	0	11487	1	2592000	1	9050							
20	0	0	20024	5	0									
20	0	0	20025	10000	0									
20	0	0	233	999	0									
20	0	0	235	999	0									
20	0	0	11510	1	0									
20	0	0	6360	5	0									
20	0	0	11488	2	2592000	1	9050							
20	0	0	11488	1	2592000	1	9050							
30	0	0	20024	5	0									
30	0	0	11510	1	0									
30	0	0	1830	5	0									
30	0	0	1832	5	0									
30	0	0	1834	5	0									
30	0	0	6182	50	0									
30	0	0	11486	1	2592000	1	9050							
30	0	0	6264	3	0									
35	0	0	9001	1	0									
35	0	0	6261	5	0									
35	0	0	6181	5	0									
35	0	0	842	5	0									
35	0	0	20043	1	2592000	2	9042	13570						
40	0	0	6161	1	0									
40	0	0	11315	5	0									
40	0	0	11490	1	2592000	1	9050							
40	0	0	4803	3	0									
40	0	0	11256	1	0									
40	1	1	7442	1	0									
40	1	2	7445	1	0									
40	1	4	7448	1	0									
40	2	1	7451	1	0									
40	2	2	7454	1	0									
40	2	4	7457	1	0									
40	3	1	7460	1	0									
40	3	2	7463	1	0									
40	3	4	7466	1	0									
40	0	0	11490	1	2592000	1	9050							
45	0	0	6064	5	0									
45	0	0	6183	1	0									
45	0	0	1836	3	0									
45	0	0	7436	2	0									
45	0	0	20044	1	2592000	2	9042	13570						
50	0	0	11510	1	0									
50	0	0	20024	15	0									
50	0	0	20025	30000	0									
50	0	0	10372	1	0									
50	0	0	6103	5	0									
50	0	0	9000	1	2592000	1	9050							
50	0	0	4803	3	0									
50	0	0	9000	1	2592000	1	9050							
55	0	0	9003	3	0									
55	0	0	7393	250	0									
55	0	0	6161	1	0									
55	0	0	11510	1	0									
55	0	0	9001	1	0									
55	0	0	20045	1	2592000	2	9042	13570						
60	0	0	9004	3	0									
60	0	0	7394	300	0									
60	0	0	6182	100	0									
60	0	0	9176	2	0									
60	0	0	20046	1	2592000	2	9042	13570						
60	0	0	4803	5	0									
65	0	0	7394	500	0									
65	0	0	11041	1	0									
65	0	0	11740	1	0									
65	0	0	4803	10	0									
70	0	0	11041	1	0									
70	0	0	9176	3	0									
70	1	1	11290	1	0									
70	1	2	11291	1	0									
70	1	4	11292	1	0									
70	2	1	11293	1	0									
70	2	2	11294	1	0									
70	2	4	11295	1	0									
70	3	1	11296	1	0									
70	3	2	11297	1	0									
70	3	4	11298	1	0									
75	0	0	11493	1	2592000	1	9050							
75	0	0	20024	10	0									
75	0	0	20025	10000	0									
75	0	0	4800	10	0									
75	0	0	11510	1	0									
75	0	0	11493	1	2592000	1	9050							
78	0	0	11494	1	2592000	1	9050							
78	0	0	20049	1	2592000	2	9042	13570						
78	0	0	20025	10000	0									
78	0	0	11741	1	0									
78	0	0	12592	1	0									
78	0	0	11016	1	0									
78	0	0	3916	1	0									
78	0	0	11494	1	2592000	1	9050							
86	0	0	11016	2	0									
86	0	0	11042	1	0									
86	0	0	12592	2	0									
86	0	0	4802	1	0									
92	0	0	7436	20	0									
92	0	0	20024	10	0									
92	0	0	20025	10000	0									
92	0	0	6009	1	0									
92	0	0	7644	1	0									
92	0	0	6273	500	0									
92	0	0	6129	1	0									
96	0	0	11771	2	0									
96	0	0	11762	2	0									
96	0	0	11735	2	0									
96	0	0	11738	2	0									
96	0	0	6425	1	0									
96	0	0	20024	20	0									
96	0	0	20025	20000	0									
96	0	0	6125	1	0									
99	0	0	6477	1	0									
99	0	0	12592	3	0									
99	0	0	11016	3	0									
99	0	0	9141	1	0									
99	0	0	12109	1	0									
99	0	0	9142	1	0									
99	0	0	4802	3	0									
99	0	0	13454	1	0									
