배틀게이트 엘로르	Ellore Battlegate
렌스피어 내부	Rensphere Inside
폰 1층 입구	Asylum Ground Floor Entrance
잊혀진_무덤_입구	Forgotten Grave Entrance
가짜마적촌	Village of the Shadows
솔시드석조	Solcid Sunset
보석의 땅	Jewel Land
에리엘	Ariel
이름없는_무덤_2층	Unmarked Grave 1st Floor
잊혀진_무덤_2층	Forgotten Grave 1st Floor
정령의 쉬라인 포탈(시온)	Spirit Shrine(Scion)
글렌데스틴 화산	Glendestin Volcano
푸세이큰의_둥지	Nest of the Forsaken
트릴가드_길드_전투_경기장	Trilgard Guild Battle Arena
폰 출구	Asylum Exit
유폐된_광산_3층	Abandoned Mine 2nd Floor
숭배자정착지	Worshipper Settlement
공성지역	Siege Zone
환희의 포자 지대	Spores of Joy
랜드엔드	Lands End
그랜드크림슨	Grand Crimson
유폐된_광산1층	Abandoned Mine Ground Floor
젠틀리어 폭포	Zenclier Waterfall
드래곤시온지역	Dragonscion Zone
죽은 자의 무덤 1층	Tomb of the Dead Ground Floor
드래이거 성 성주 사냥터	Drayger Castle Secret Dungeon
작열의_동굴_1층_출구	Miasma Cave Ground Floor Exit
알게마분지	Algema Basin
배틀스퀘어_5층	Battle Square 5th Floor
아르시안 성 내부	Arthian Inside
증오의 입구	Gate of Hatred
바르도터서쪽	Bardother Western
탐욕의_무덤2층	Tomb of Greed 1st Floor
드래이거_성주_사냥터	Drayger Secret Dungeon
정령의 쉬라인 오크지역	Spirit Shrine Orc Zone
바란다이크3요새	Baran Dyke Fortress Three
땅끝해안	Viper Beach
샤인우드	Shinewood
드래곤시온_요새	DragonScion Fortress
과다니니폭포	Guadanini Waterfall
탐욕의 무덤 2층 출구	Tomb of Greed 1st Floor Exit
봉인된 광산 3층	Sealed Mine 2nd Floor
랜스피어 성 내부	Rensphere Castle Inside
폰_아이젠하우스	Asylum
죽은자의  무덤 1층	Tomb of the Dead Ground Floor
셤프마을	Shump Village
분노의_문5	5 Gate of Rage
배틀스퀘어_1층	Battle Square 1st Floor
흐르는 모래 길	Sand Road
폰 아이젠하우스 4층	Asylum 3rd Floor
피의 제단	Blood Altar
오래된_광산_2층_입구	Old Mine 1st Floor Entrance
닫혀진_광산_1층_출구	Closed Mine Ground Floor Entrance
작열의 동굴 1층	Miasma Cave Ground Floor
드래이거 내부	Drayger Inside
폰 입구	Asylum Gate
휴먼 요새 입구	Human Fortress Entrance
작열의 동굴 1층 출구	Miasma Cave Ground Floor Exit
비고로르_동쪽	Vigorore Eastern
군주의_좌	Tyranny's Throne
탐욕의 문6	6 Gate of Greed
데리벨 북문	Deribelle North Gate
반목의_방2	2 Chamber of Enmity
죽은 자의 무덤 3층	Tomb of the Dead 2nd Floor
탈론_야드	Talon Yard
용암의 쉬라인 문엘프지역	Lava Shrine Moon Elf Zone
불의 쉬라인 휴먼지역	Fire Shrine Human Zone
바람의 쉬라인 드래곤시온지역	Wind Shrine Dragonscion Zone
이름 없는 무덤 2층	Unmarked Grave 1st Floor
물의 쉬라인 포탈(오크)	Water Shrine(Orc)
인플레임 성 성주 사냥터	Inflame Castle Secret Dungeon
광산_입구	Mine Entrance
독 정령계	Evergreen Paradise
체스터 늪	Chester Swamp
시련의 동굴1층	Cave of Trials Ground Floor
죽은자의 전장	Battleground of the Dead
오선지대	Five Lines
포박의 방	Prison Chamber
추모자의 방	Memorial Chamber
베틀스퀘어	Battlesquare
열사의 한계	Patriot's Limit
뱀파이어마을	Vampire Village
이름없는 무덤 2층	Unmarked Grave 1st Floor
흐릿한 강변	Dull Riverbank
나무꾼의숲	Woodcutter Pass
울림의 늪지	Quake Zone
행복한 묘지	Tomb of Tranquillity
젠클리어 남동부	Southeast Zenclier
멤브레덴_남쪽	Membreathen Southern
렌스피어 성	Rensphere Castle
아르시안 행 포탈	Portal bound for Arthian
오래된 광산 입구	Old Mine Entrance
흉가주점	Haunted Inn
데리벨 남시가지	Deribelle South Town
탐욕의_문	Gate of Greed
불꽃의_지옥	Flames of Hell
염랑의 동굴 2층	Flame Cave 1st Floor
드래이거 내성문	Drayger Castle Internal Gate
유폐된 광산 입구	Abandoned Mine Entrance
이름없는 무덤 1층	Unmarked Grave Ground Floor
노르톱마을	Nortop Village
바람의 쉬라인 문엘프지역	Wind Shrine Moon Elf Zone
골렘_지역	Golem Territory
새의낙원	Bird's Heaven
메테오라	Meteora
대장의 정원	General's Garden
바람의 쉬라인	Wind Shrine
노린	Norine
이름없는 무덤 출구	Unmarked Grave Exit
라트리아_남쪽	Latria Southern
닫혀진_광산	Closed Mine
캐러번로드	Karebun Road
케이브타운	Cave Town
분열의 문5	5 Gate of Division
멧돼지사냥터	Boar Field
