name	skill_level	skill_type	skill_type2	buff_type	require_class_knight	require_class_archer	require_class_wizard	require_class_berserker	require_class_hunter	require_class_sorcerer	require_class_swashbuckler	require_class_ranger	require_class_elementaler	require_class_slayer	require_class_obiter	require_class_summoner	require_class_scion	require_level	require_point	require_heroic_point	require_charisma_point	damage_a	damage_magic	damage_water	damage_air	damage_earth	damage_fire	damage_poison	damage_ice	damage_thunder	dmg_heroic	damage_c	damage_a_PERCENT	damage_magic_PERCENT	damage_water_PERCENT	damage_air_PERCENT	damage_earth_PERCENT	damage_fire_PERCENT	damage_poison_PERCENT	damage_ice_PERCENT	damage_thunder_PERCENT	dmg_heroic_percent	damage_c_PERCENT	resist_a	cost_hp	cost_mp	cost_sp	cost_arrow	endskill_cost_hp	cast_time	recast_time	semi_recast_time	duration	interval	show damage	range	area_r	area_f1	area_f2	dot_dmg_a	dot_dmg_magic	dot_dmg_water	dot_dmg_air	dot_dmg_earth	dot_dmg_fire	dot_dmg_poison	dot_dmg_ice	dot_dmg_thunder	dot_dmg_heroic	dot_dmg_a_PERCENT	dot_dmg_magic_PERCENT	dot_dmg_water_PERCENT	dot_dmg_air_PERCENT	dot_dmg_earth_PERCENT	dot_dmg_fire_PERCENT	dot_dmg_poison_PERCENT	dot_dmg_ice_PERCENT	dot_dmg_thunder_PERCENT	move_distance	reflect_max	heroic_reflect_max	defense_max	reflect_con	defense_con	damage_shield	counter_up	counter_reduce	hot	dmg_adjust	dmg_show_divide	hp_recovery	mp_recovery	sp_recovery	warrior_lev	change_monster	block_point	stun_time	stun_generate_time	critical	skill_range	skill_rate	special_status_rate	damage_convert_hp	damage_convert_mp	regen_hp	regen_mp	charge_1	charge_2	charge_3	aggrodoll_hp	dot_damage_time	cost_mp_decrease	cast_time_decrease	skill_levelup	mp_convert_hp	death	time_control	item_parts	skill_cost	skill_upgrade_cost	skill_classify_id	skill_classify_level	velocity	summons_tid	creature_tid	additional_skilltid	additional_duration	max_target_num	limit_quantity	summons_count	bonus_exp	bonus_money	bonus_drop_rate	bonus_charisma_add_rate	level_diff	divide_rate	ea_damage_physical	ea_damage_magic	ea_damage_water	ea_damage_air	ea_damage_earth	ea_damage_fire	ea_damage_poison	ea_damage_ice	ea_damage_thunder	ea_damage_c	ea_damage_physical_PERCENT	ea_damage_magic_PERCENT	ea_damage_water_PERCENT	ea_damage_air_PERCENT	ea_damage_earth_PERCENT	ea_damage_fire_PERCENT	ea_damage_poison_PERCENT	ea_damage_ice_PERCENT	ea_damage_thunder_PERCENT	ea_damage_c_PERCENT	FACTOR_POINT	con	str	int	dex	cha	wis	movement	hp	mp	sp	ap	agro	max_hp	max_mp	max_sp	atk_speed	atk_range	skill_cast	skill_delay	hit_rate	evade_rate	dodge_rate	dmg_min_physical	dmg_min_magic	dmg_min_water	dmg_min_air	dmg_min_earth	dmg_min_fire	dmg_min_poison	dmg_min_ice	dmg_min_thunder	dmg_max_physical	dmg_max_magic	dmg_max_water	dmg_max_air	dmg_max_earth	dmg_max_fire	dmg_max_poison	dmg_max_ice	dmg_max_thunder	def_point_physical	def_point_magic	def_point_water	def_point_air	def_point_earth	def_point_fire	def_point_poison	def_point_ice	def_point_thunder	physical_resistance	physical_block	skill_block	dmg_min_heroic	dmg_max_heroic	def_point_heroic	heroic_melee_Resistance	heroic_ranged_Resistance	heroic_magic_Resistance	FACTOR_PERCENT	con	str	int	dex	cha	wis	movement	hp	mp	sp	ap	agro	max_hp	max_mp	max_sp	atk_speed	atk_range	skill_cast	skill_delay	hit_rate	evade_rate	dodge_rate	dmg_min_physical	dmg_min_magic	dmg_min_water	dmg_min_air	dmg_min_earth	dmg_min_fire	dmg_min_poison	dmg_min_ice	dmg_min_thunder	dmg_max_physical	dmg_max_magic	dmg_max_water	dmg_max_air	dmg_max_earth	dmg_max_fire	dmg_max_poison	dmg_max_ice	dmg_max_thunder	def_point_physical	def_point_magic	def_point_water	def_point_air	def_point_earth	def_point_fire	def_point_poison	def_point_ice	def_point_thunder	physical_resistance	physical_block	skill_block	FACTOR_MAGNIFY	movement	atk_speed
Dual Slash	1	0	1		1			1										4	1														110													10				1450	7450	1450			2	2																																																															80																																																																																																																																																								
	2	0	1		1			1										7	1														120													15				1450	7450	1450			2	2																																																																480																																																																																																																																																							
	3	0	1		1			1										10	1														130													20				1450	7450	1450			2	2																																																																1440																																																																																																																																																							
	4	0	1		1			1										13	1														140													25				1450	7450	1450			2	2																																																																2880																																																																																																																																																							
	5	0	1		1			1										16	1														150													30				1450	7450	1450			2	2																																																																4800																																																																																																																																																							
	6	0	1		1			1										19	1														160													35				1450	7450	1450			2	2																																																																																																																																																																																																																							
	7	0	1		1			1										22	1														170													40				1450	7450	1450			2	2																																																																																																																																																																																																																							
	8	0	1		1			1										25	1														180													45				1450	7450	1450			2	2																																																																																																																																																																																																																							
	9	0	1		1			1										28	1														190													50				1450	7450	1450			2	2																																																																																																																																																																																																																							
	10	0	1		1			1										31	1														200													55				1450	7450	1450			2	2																																																																																																																																																																																																																							
	11	0	1		1			1										34	1														210													60				1450	7450	1450			2	2																																																																																																																																																																																																																							
	12	0	1		1			1										37	1														220													65				1450	7450	1450			2	2																																																																																																																																																																																																																							
	13	0	1		1			1										40	1														230													70				1450	7450	1450			2	2																																																																																																																																																																																																																							
	14	0	1		1			1										43	1														240													75				1450	7450	1450			2	2																																																																																																																																																																																																																							
	15	0	1		1			1										46	1														250													80				1450	7450	1450			2	2																																																																																																																																																																																																																							
	16	0	1		1			1										49	1														260													85				1450	7450	1450			2	2																																																																																																																																																																																																																							
	17	0	1		1			1										52	1														270													90				1450	7450	1450			2	2																																																																																																																																																																																																																							
	18	0	1		1			1										55	1														280													95				1450	7450	1450			2	2																																																																																																																																																																																																																							
	19	0	1		1			1										58	1														290													100				1450	7450	1450			2	2																																																																																																																																																																																																																							
	20	0	1		1			1										61	1														300													105				1450	7450	1450			2	2																																																																																																																																																																																																																							
Big Wheel	1	0	1		1			1										40	1											8			160								100					70				1480	7480	1480				4	5																																																														25000																																																																																																																																																								
	2	0	1		1			1										43	1											10			170								105					75				1480	7480	1480				4	5																																																															64000																																																																																																																																																							
	3	0	1		1			1										46	1											12			180								110					80				1480	7480	1480				4	5																																																															144000																																																																																																																																																							
	4	0	1		1			1										49	1											14			190								115					85				1480	7480	1480				4	5																																																															224000																																																																																																																																																							
	5	0	1		1			1										52	1											16			200								120					90				1480	7480	1480				4	5																																																															400000																																																																																																																																																							
	6	0	1		1			1										55	1											18			210								125					95				1480	7480	1480				4	5																																																																																																																																																																																																																						
	7	0	1		1			1										58	1											20			220								130					100				1480	7480	1480				4	5																																																																																																																																																																																																																						
	8	0	1		1			1										61	1											22			230								135					105				1480	7480	1480				4	5																																																																																																																																																																																																																						
	9	0	1		1			1										64	1											24			240								140					110				1480	7480	1480				4	5																																																																																																																																																																																																																						
	10	0	1		1			1										67	1											26			250								145					115				1480	7480	1480				4	5																																																																																																																																																																																																																						
	11	0	1		1			1										70	1											28			260								150					120				1480	7480	1480				4	5																																																																																																																																																																																																																						
	12	0	1		1			1										73	1											30			270								155					125				1480	7480	1480				4	5																																																																																																																																																																																																																						
	13	0	1		1			1										76	1											32			280								160					130				1480	7480	1480				4	5																																																																																																																																																																																																																						
	14	0	1		1			1										79	1											34			290								165					135				1480	7480	1480				4	5																																																																																																																																																																																																																						
	15	0	1		1			1										82	1											36			300								170					140				1480	7480	1480				4	5																																																																																																																																																																																																																						
	16	0	1		1			1										85	1											38			310								175					145				1480	7480	1480				4	5																																																																																																																																																																																																																						
	17	0	1		1			1										88	1											40			320								180					150				1480	7480	1480				4	5																																																																																																																																																																																																																						
	18	0	1		1			1										91	1											42			330								185					155				1480	7480	1480				4	5																																																																																																																																																																																																																						
	19	0	1		1			1										94	1											44			340								190					160				1480	7480	1480				4	5																																																																																																																																																																																																																						
	20	0	1		1			1										97	1											46			350								195					165				1480	7480	1480				4	5																																																																																																																																																																																																																						
Speed Attack	1	1		0	1			1										5	1																											30				1330	317000	1330	264000																																																																		80		5	20																																																					5																																																									18																																							
