name2	skill_level2	damage_a2	damage_magic2	damage_water2	damage_air2	damage_earth2	damage_fire2	damage_poison2	damage_ice2	damage_thunder2	damage_a_PERCENT2	damage_magic_PERCENT2	damage_water_PERCENT2	damage_air_PERCENT2	damage_earth_PERCENT2	damage_fire_PERCENT2	damage_poison_PERCENT2	damage_ice_PERCENT2	damage_thunder_PERCENT2	damage_c_PERCENT2	cost_hp2	cost_mp2	duration2	interval2	dot_dmg_a2	dot_dmg_magic2	dot_dmg_water2	dot_dmg_air2	dot_dmg_earth2	dot_dmg_fire2	dot_dmg_poison2	dot_dmg_ice2	dot_dmg_thunder2	dot_dmg_a_PERCENT2	dot_dmg_magic_PERCENT2	dot_dmg_water_PERCENT2	dot_dmg_air_PERCENT2	dot_dmg_earth_PERCENT2	dot_dmg_fire_PERCENT2	dot_dmg_poison_PERCENT2	dot_dmg_ice_PERCENT2	dot_dmg_thunder_PERCENT2	stun_time2	skill_rate2	aggrodoll_hp2	dot_damage_time2	death2	specific_skill_levelup2	Connection_TID2	Skill_Union2	Skill_Union_Control2	Max_Skill_Union2	bonus_drop_add_rate2	velocity2	ea_damage_physical2	ea_damage_magic2	ea_damage_water2	ea_damage_air2	ea_damage_earth2	ea_damage_fire2	ea_damage_poison2	ea_damage_ice2	ea_damage_thunder2	ea_damage_c2	ea_damage_physical_PERCENT2	ea_damage_magic_PERCENT2	ea_damage_water_PERCENT2	ea_damage_air_PERCENT2	ea_damage_earth_PERCENT2	ea_damage_fire_PERCENT2	ea_damage_poison_PERCENT2	ea_damage_ice_PERCENT2	ea_damage_thunder_PERCENT2	ea_damage_c_PERCENT2	FACTOR_POINT2	con2	str2	int2	dex2	cha2	wis2	movement2	hp2	mp2	sp2	ap2	agro2	max_hp2	max_mp2	max_sp2	atk_speed2	atk_range2	skill_cast2	skill_delay2	hit_rate2	evade_rate2	dodge_rate2	dmg_min_physical2	dmg_min_magic2	dmg_min_water2	dmg_min_air2	dmg_min_earth2	dmg_min_fire2	dmg_min_poison2	dmg_min_ice2	dmg_min_thunder2	dmg_max_physical2	dmg_max_magic2	dmg_max_water2	dmg_max_air2	dmg_max_earth2	dmg_max_fire2	dmg_max_poison2	dmg_max_ice2	dmg_max_thunder2	def_point_physical2	def_point_magic2	def_point_water2	def_point_air2	def_point_earth2	def_point_fire2	def_point_poison2	def_point_ice2	def_point_thunder2	physical_resistance2	physical_block2	skill_block2	FACTOR_PERCENT2	con2	str2	int2	dex2	cha2	wis2	movement2	hp2	mp2	sp2	ap2	agro2	max_hp2	max_mp2	max_sp2	atk_speed2	atk_range2	skill_cast2	skill_delay2	hit_rate2	evade_rate2	dodge_rate2	dmg_min_physical2	dmg_min_magic2	dmg_min_water2	dmg_min_air2	dmg_min_earth2	dmg_min_fire2	dmg_min_poison2	dmg_min_ice2	dmg_min_thunder2	dmg_max_physical2	dmg_max_magic2	dmg_max_water2	dmg_max_air2	dmg_max_earth2	dmg_max_fire2	dmg_max_poison2	dmg_max_ice2	dmg_max_thunder2	def_point_physical2	def_point_magic2	def_point_water2	def_point_air2	def_point_earth2	def_point_fire2	def_point_poison2	def_point_ice2	def_point_thunder2	physical_resistance2	physical_block2	skill_block2	ignore_physical_defence_percent2	ignore_attribute_defence_percent2	critical_defence_percent2	durability_percent2	durability_num2
Testament	1																																																																																																																																																																																					8			
	2																																																																																																																																																																																					9			
	3																																																																																																																																																																																					10			
	4																																																																																																																																																																																					11			
	5																																																																																																																																																																																					12			
	6																																																																																																																																																																																					13			
	7																																																																																																																																																																																					14			
	8																																																																																																																																																																																					15			
	9																																																																																																																																																																																					16			
	10																																																																																																																																																																																					17			
	11																																																																																																																																																																																					18			
	12																																																																																																																																																																																					19			
	13																																																																																																																																																																																					20			
	14																																																																																																																																																																																					21			
	15																																																																																																																																																																																					22			
Counter Attack	1																																																																																																																																																																																						1		
	2																																																																																																																																																																																						2		
	3																																																																																																																																																																																						3		
	4																																																																																																																																																																																						4		
	5																																																																																																																																																																																						5		
	6																																																																																																																																																																																						6		
	7																																																																																																																																																																																						7		
	8																																																																																																																																																																																						8		
	9																																																																																																																																																																																						9		
	10																																																																																																																																																																																						10		
	11																																																																																																																																																																																						11		
	12																																																																																																																																																																																						12		
	13																																																																																																																																																																																						13		
	14																																																																																																																																																																																						14		
	15																																																																																																																																																																																						15		
	16																																																																																																																																																																																						16		
	17																																																																																																																																																																																						17		
	18																																																																																																																																																																																						18		
	19																																																																																																																																																																																						19		
	20																																																																																																																																																																																						20		
Lethal Attack	1																																																																																																																																																																																				5				
	2																																																																																																																																																																																				6				
	3																																																																																																																																																																																				7				
	4																																																																																																																																																																																				8				
	5																																																																																																																																																																																				9				
	6																																																																																																																																																																																				10				
	7																																																																																																																																																																																				11				
	8																																																																																																																																																																																				12				
	9																																																																																																																																																																																				13				
	10																																																																																																																																																																																				14				
	11																																																																																																																																																																																				15				
	12																																																																																																																																																																																				16				
	13																																																																																																																																																																																				17				
	14																																																																																																																																																																																				18				
	15																																																																																																																																																																																				19				
Bellow	1																																																																																																																																																																																						4		
	2																																																																																																																																																																																						5		
	3																																																																																																																																																																																						6		
	4																																																																																																																																																																																						7		
	5																																																																																																																																																																																						8		
	6																																																																																																																																																																																						9		
	7																																																																																																																																																																																						10		
	8																																																																																																																																																																																						11		
	9																																																																																																																																																																																						12		
	10																																																																																																																																																																																						13		
	11																																																																																																																																																																																						14		
	12																																																																																																																																																																																						15		
	13																																																																																																																																																																																						16		
	14																																																																																																																																																																																						17		
	15																																																																																																																																																																																						18		
Reflection	1																																																																																																																																																																																						16		
	2																																																																																																																																																																																						18		
	3																																																																																																																																																																																						20		
	4																																																																																																																																																																																						22		
	5																																																																																																																																																																																						24		
	6																																																																																																																																																																																						26		
	7																																																																																																																																																																																						28		
	8																																																																																																																																																																																						30		
	9																																																																																																																																																																																						32		
	10																																																																																																																																																																																						34		
	11																																																																																																																																																																																						36		
	12																																																																																																																																																																																						38		
	13																																																																																																																																																																																						40		
	14																																																																																																																																																																																						42		
	15																																																																																																																																																																																						44		
Stunner	1																																																																																																																																																																																					10			
	2																																																																																																																																																																																					12			
	3																																																																																																																																																																																					14			
	4																																																																																																																																																																																					16			
	5																																																																																																																																																																																					18			
	6																																																																																																																																																																																					20			
	7																																																																																																																																																																																					22			
	8																																																																																																																																																																																					24			
	9																																																																																																																																																																																					26			
	10																																																																																																																																																																																					28			
	11																																																																																																																																																																																					30			
	12																																																																																																																																																																																					32			
	13																																																																																																																																																																																					34			
	14																																																																																																																																																																																					36			
	15																																																																																																																																																																																					38			
