ìŠ¤í‚¬ëª…	attribute	upgradable	check_range	target	range	requirement	condition	other_condition	arg1	arg2	arg3	arg4	arg_string	melee_attack	magic_attack	count	special_status	special_status_arg	move_pos	update_factor	reflect_melee_attack	reflect_magic_attack	reflect_heroic_attack	defense_melee_attack	defense_magic_attack	magic_resist_level_up	dispel_magic	transform_target	life_protection	dot	infect_around	add_spellcount	dmg_adjust	skill_factor_adjust	update_combat_point	regen_hp	convert_type	charge	skill_levelup	product	twice_packet	auto_attack	dynamic_target	action_on_action	at_field	summons	action_passive	duration_type	limited_max_level	release_target	visible_effect_type	game_bonus	item_use_type	cash	level_diff_type	detect	ride	game_effect	force	divide	resurrection	skill_union	target_restriction	disturb	downtime_id	downtime_duration	applied_cooldown_cap
Dual Slash	1	1	1	1	202	1								101																																																					
Power Rush																																																																			
Big Wheel	1	1	1	101	304	1								101																																																					
Speed Attack	10	1	2	100	1	1														10																					2																										
Provoke	20	1		1	202	1														10																					2																										
Zone Provoke	20	1		1	1304	1														10																					2																										
Shield Bash	1	1	1	1	202	3	1000							101			1																								2																										
Immortal Calling	10	1	2	100	1	1														10																					2																										
Berserker	10	1	2	100	1	1														10																	1				2																										
Combat Echo	10	1	2	100	303	1														10																					2																										
Flame Core	3	1	1	1	202	1			3					101																											1																										
Napalm Flame	21	1	1	1	202	1			3					101																10001		1									1																										
Blaze Wall	3	1	1	1	404	1			3					101																											1																										
Geo Shards	21	1	1	1	202	1			4					101						10												1									1																										
Earthquake	4	1	1	101	304	1			4					101																											1																										
Mass Snare	21	1	1	101	304	1			4					101						10												1									1																										
Whirlwind	5	1	1	1	202	1			5					101																											1																										
Hell Typhoon	5	1	1	1	1304	1			5					101																											1																										
Wind Quake	21	1	1	101	304	1			5					101						10												1									1																										
Water Spout	21	1	1	1	202	1			2					101						10										10001		1									1																										
Acid Rain	21	1	1	101	304	1			2					101																10001		1									1																										
Whirlpool	6	1	1	1	1304	1			2					101																											1																										
Magic Bolt	2	1	1	1	202	1			1					101																											1																										
Soul Chaos	2	1	1	101	304	1			1					101																											1																										
Death Mark	21	1	1	1	202	1														10																					2																										
Testament	10	1	2	100	1	1														10	8																				2																										
Foot Assault																																																																			
Wheel Kick																																																																			
Free Will	10	1	2	100	1		1000										17			10																					2																										60
Cease Pain																																																																			
Mind Piece																																																																			
Turn Undead																																																																			
Cure	10	1	2	100	1	1	1000																				2														2																										
Font of Life																																																																			
Group Heal																																																																			
Energy Burst																																																																			
Mirror Damage																																																																			
Power Blow																																																																			
Natural Recovery																																																																			
Dual Shot	1	1	1	1	202	1								101																											1																										
Wind Arrow	5	1	1	1	202	1			5					101																											1																										
Transform	10	1		100	1	1			96											10								0																																							
Animal Soul	10	1	2	100	303	1														10																					2																										
Forces of Nature	21	1	1	1	202	1								101						10												1									1																										
Snare Shot	21	1	1	1	1304	1								101						10												1									1																										
Pain Arrow	11	1	1	1	202	1								101																10001		1									1																										
Arrow Hail	1	1	1	1	1304	1								101																											1																										
Piercing Shot	1	1	1	1	1304	1								101																											1																										
Triple Slash	1	1	1	1	202	1								101																																																					
Cold Scorn																																																																			
Bashing																																																																			
Magic Spear																																																																			
Kick Raid																																																																			
Vital Wave																																																																			
Fury Smash																																																																			
Triple Shot	1	1	1	1	202	1								101																											1																										
Linear Blow	1	1	1	1	1304	1								101																											2																										
Defense Hold	9	1	2	111	211		1000													10	2																																														
Supreme Damage	9	1	2	111	1		1000		5	150				106																																																					
Red Heat	9	1	2	111	1															10																																															
Counter Attack	9	1	2	111	1	8	1000		2															2																																											
Sure Sight	9	1	2	111	1															10																																															
Critical Hit	9	1	2	111	1		1000		3	150				106																																																					
Sprite Protect	9	1	2	111	1															10																																															
Evade	9	1	2	111	1															10																																															
Power Up																																																																			
Will Force																																																																			
EnduranceNA																																																																			
Cross Attack																																																																			
Critical Spells	9	1	2	111	1		1000		1	150				106						10																																															
Intense Magic	9	1	2	111	1		1000		1																									2																																	
Mind Control	9	1	2	111	1															10																																															
Hawk Eye	9	1	2	111	1				8											107														4																																	
Death Strike	9	1	2	111	1		1000		2					107																																																					
Dragon Divide	1	1	1	1	1304	1								101																																																					
Brute																																																																			
Summon Hero																																																																			
Explosion Scroll	1	2	1	1	1304		1000							101						10																																															
Acceleration																																																																			
Fatal Swing																																																																			
Heavy Counter Attack	9	1	2	111	1				5															2																																											
Health Burst	9	1	2	111	1															10																																															
Gale Arrow																																																																			
Deep Pain																																																																			
Beast Eye																																																																			
Sour																																																																			
Soul of Totem																																																																			
Sinker																																																																			
Arrow Rain																																																																			
Epic Blow	9	1	2	111	1				5	150				106																																																					
Mana Gain	9	1	2	111	1															10																																															
Free Dodging	9	1	2	111	1															10																																															
Phoenix	1	1	1	1	1304	1								101																											1																										
Legend Take																																																																			
Magic Lance																																																																			
Breeze Hammer																																																																			
Brilliant Charm	9	1	2	111	1				2	150																																																									
Armageddon																																																																			
Aqua Pillar																																																																			
Armament	9	1	2	111	1															10																																															
Geo Sprinter																																																																			
Casting Mastery	9	1	2	111	1				100	85																								0																																	
Craft Pain																																																																			
Fire Burst																																																																			
Grave Enter																																																																			
Group Greater Heal																																																																			
Divine Heal																																																																			
Life Protection																																																																			
Remedy																																																																			
Revenging																																																																			
Relief																																																																			
Benediction Aura																																																																			
Waking																																																																			
Windmill Beat																																																																			
Invisible Attack																																																																			
Cross Smash																																																																			
Power Rising																																																																			
Font of Elixir																																																																			
Peace Giving																																																																			
<BOSS><Troll> Earth Lift	1	2	1	1	1404									101																																																					
<BOSS><Hydra> Curse Circle	1	2	1	1	1304									101																																																					
<BOSS><Skeleton Commander> Soul Burning																																																																			
<BOSS><Wyvern> Lord Inferno	1	2	1	1	404									101																																																					
<BOSS><Griffin> Lightdrop	1	2	1	1	1404									101																																																					
<BOSS><Manticore> Magical Sign	1	2	1	1	1404									101																																																					
Strike Of Death	1	1	1	1	202	1								101																											2																										
Lethal Attack	10	1	2	100	1	1															4														2						2																										
Hook	1	1	1	1	1304	1								101																											2																										
Bellow	10	1	2	100	1	1														10				4																	2																										
Resistance	10	1	2	100	1	1														10																					2																										
Power Blade	10	1	2	100	1	5			1											107																					2																										
Power Axe	10	1	2	100	1	6			2					106						107																					2																										
Bludgeon	10	1	2	100	1	7			3											107																					2																										
Brute Force	10	1	2	100	1	8			4											107																					2																										
Faith Defender	10	1	2	100	1	3			5											107																					2																										
Debilitate	20	1	1	1	202	1																													3						2																										
Power Drain	20	1	1	1	202	1														10																					2																										
Twin Hand	10	1	2	100	1	1																																			2																										
Sacrifice	10	1	1	100	1	1								106						10																					2																										
Third Attack																																																																			
Razor Sharp	10	1	2	100	1	1														10																					2																										
Body Break	20	1	1	1	1304	1														10																					2																										
Panic	20	1	1	1	1202	1														10														9							2																										
Vital Charge	50	1	2	100	1	1	1000																														1				2																										
Burst Shot	1	1	1	1	1304	1								101																											1																										
Magic Arrow	1	1	1	1	202	1	1000							101			1																								1																										
Blinding Strike	11	1	1	1	202	1								101						10																					1																										
Fire Shot	21	1	1	1	202	1								101																10001											1																										
Nightwalk	10	1	2	100	1	1											6			10																					2																										
Sharp Shooter	10	1	2	100	1	1														10																					2																										
Misleader	10	1	2	100	1	1			2											10																					2																										
Passing																																																																			
Helpless	21	1	1	1	202	1								109						10														9							1																										
Heavy Hand	21	1	1	1	1304	1								101						10																					1																										
Power Bow	10	1	2	100	1	11			6											107																					2																										
Power Crossbow	10	1	2	100	1	12			7											107																					2																										
Far Sight	10	1	2	100	1	1			8											107														4							2																										
Aggro Doll		1																																							2																										
Rock skin	10	1	2	100	1	1														10																					2																										
Hustler	10	1	2	100	1	1											7																								2									1																	
Pulverize	21	1	1	1	1302	1	1000		50	400				109						10																					1																										
Earth Attack	21	1	1	1	202	1								109						10																					1																										
Defiance	10	1	2	100	1	1														10														2							2																										
Reflection	10	1	2	100	1	1														10				4													2				2																										
Confusion	21	1	1	1	202	1														10																					1																										
Halt	21	1	1	1	202	1											9																	9							1																								1		1
Stunner	10	1	2	100	1	1	1000													10	8																				2																										
Mana Pull	10	1	2	100	1	1	1000													10																					2																										
Vital Conversion	10	1	2	100	1	1														10																					2																										
Life Restore	10	1	2	100	1	1														10																					2																										
Demolition Song	1	1	1	1	202	1	1000							101			1																								2																										
Penetrate Defense	20	1	1	1	1304	1														10														9							1																										
Expert Skill	10	1	2	100	1	1														10																			1		2																										
Grind Pull	21	1	1	1	202	1								101						10										10001											1																										
Quagmire	21	1	1	1	202	1								101			3			10										10001											1																										
Mana Sequence	1	1	1	1	202	1								101																											1																										
Assimilate	10	1	2	100	1	1	1000																														1				2																										
Optimum	10	1	2	100	211	1														10														2							2																										
<BOSS><Goblin Chief> Confusion	1	2	1	1	1404									101																																																					
<BOSS><Hobgoblin Chief> Scorn	1	2	1	1	304									101																																																					
<BOSS><Viper King> Insanity	1	2	1	1	404									101																																																					
<BOSS><Skeleton Commander> Summon Skeleton	1	2	1	1	1404									101																																																					
<BOSS><Lizardman Lord> Destruction	1	2	1	1	1304									101																																																					
