GroupName	Name	TotalMobCount	Spawntime	MobTID	MobLV	Rate	MaxMobCount	MobAITID	SiegeWarType	IsBoss
a1001	a1001_1	5	8	459	13	10000	0	4590	0	0
a1001	a1001_2	5	8	459	13	10000	0	4590	0	0
a1001	a1001_4	5	8	459	13	10000	0	4591	0	0
a1001	a1001_5	5	8	459	13	10000	0	4590	0	0
a1001	a1001_6	5	8	292	12	10000	0	2920	0	0
a1001	a1001_7	4	8	292	12	10000	0	2921	0	0
a1001	a1001_8	3	30	293	13	10000	0	2930	0	0
a1001	a1001_9	4	8	292	12	10000	0	2920	0	0
a1002	a1002_1	4	30	295	15	10000	0	2951	0	0
a1002	a1002_2	4	9	645	14	10000	0	6450	0	0
a1002	a1002_3	4	30	295	15	10000	0	2951	0	0
a1002	a1002_4	4	9	295	15	10000	0	2951	0	0
a1002	a1002_5	4	9	295	15	10000	0	2950	0	0
a1002	a1002_6	4	30	286	14	10000	0	2861	0	0
a1002	a1002_7	4	9	645	14	10000	0	6451	0	0
a1002	a1002_8	4	9	295	15	10000	0	2950	0	0
a1002	a1002_9	4	9	645	14	10000	0	6450	0	0
a1003	a1003_1	5	9	645	14	10000	0	6451	0	0
a1003	a1003_2	5	9	286	14	10000	0	2860	0	0
a1003	a1003_3	4	30	286	14	10000	0	2861	0	0
a1003	a1003_4	4	9	645	14	10000	0	6451	0	0
a1004	a1004_1	4	9	647	15	10000	0	6470	0	0
a1004	a1004_2	4	9	647	15	10000	0	6470	0	0
a1004	a1004_3	4	9	647	15	10000	0	6471	0	0
a101	a101_1	5	7	323	8	10000	0	3230	0	0
a101	a101_2	5	30	323	8	10000	0	3231	0	0
a101	a101_3	5	7	323	8	10000	0	3230	0	0
a101	a101_4	3	7	323	8	10000	0	3230	0	0
a101	a101_5	4	7	323	8	10000	0	3230	0	0
a102	a102_1	4	6	803	5	10000	0	8030	0	0
a102	a102_10	2	30	117	6	10000	0	1170	0	0
a102	a102_11	4	7	119	7	10000	0	1190	0	0
a102	a102_12	4	7	119	7	10000	0	1190	0	0
a102	a102_13	4	7	119	7	10000	0	1190	0	0
a102	a102_14	4	6	803	5	10000	0	8030	0	0
a102	a102_15	5	6	648	4	10000	0	6480	0	0
a102	a102_16	5	6	648	4	10000	0	6480	0	0
a102	a102_17	2	30	117	6	10000	0	1170	0	0
a102	a102_2	4	7	119	7	10000	0	1190	0	0
a102	a102_3	4	7	119	7	10000	0	1190	0	0
a102	a102_4	4	7	119	7	10000	0	1190	0	0
a102	a102_5	4	6	803	5	10000	0	8030	0	0
a102	a102_6	4	7	119	7	10000	0	1190	0	0
a102	a102_7	4	7	119	7	10000	0	1190	0	0
a102	a102_8	5	7	119	7	10000	0	1190	0	0
a102	a102_9	3	7	119	7	10000	0	1190	0	0
a103	a103_1	5	30	325	9	10000	0	3251	0	0
a103	a103_2	5	7	323	8	10000	0	3230	0	0
a103	a103_3	5	7	323	8	10000	0	3230	0	0
a103	a103_4	5	7	325	9	10000	0	3250	0	0
a103	a103_6	5	7	319	7	10000	0	3190	0	0
a103	a103_7	5	7	319	7	10000	0	3190	0	0
a104	a104_1	5	7	119	7	10000	0	1190	0	0
