Name	Position	Rotation	Radius
ET016_01	-436000,12256.200195,634800	0,0	0
ET017_01	-428000,12275,642000	0,90	0
ET016_01	-430000,12200.099609,653200	0,90	0
ET018_01	-437960,12299.900391,657793	0,0	0
ET017_01	-434400,13172.200195,666000	0,90	0
ET018_01	-426802,14356.700195,678249	0,0	0
ET017_01	-436800,14202.799805,677200	0,90	0
ET017_01	-427600,14560,687600	0,90	0
ET018_01	-430378,13762,695207	0,0	0
ET018_01	-429978,13783.599609,696788	0,0	0
ET018_01	-471188,18087.199219,645784	0,0	0
ET018_01	-477330,15321,662094	0,0	0
ET018_01	-471753,14823.299805,630297	0,0	0
ET018_01	-489397,15008.099609,628277	0,0	0
ET018_01	-495362,15399.599609,629145	0,0	0
ET018_01	-498659,14997.599609,635943	0,0	0
ET018_01	-498149,14986.5,640840	0,0	0
ET018_01	-493337,15473.400391,653430	0,0	0
ET016_01	-460400,13585.5,636400	0,90	0
ET016_01	-470800,14737.299805,634400	0,90	0
ET016_01	-479600,15947.700195,652400	0,0	0
ET016_01	-473200,16438.800781,658400	0,0	0
ET016_01	-463200,16677.400391,655200	0,270	0
ET016_01	-466800,18087.199219,648000	0,0	0
ET016_01	-473200,18087.199219,642400	0,0	0
ET016_01	-474000,18087.199219,649600	0,0	0
ET016_01	-480000,15849,641200	0,0	0
ET017_01	-499600,15417.799805,662400	0,0	0
ET017_01	-498000,15399.599609,664000	0,270	0
ET017_01	-498400,15368.700195,682400	0,0	0
ET017_01	-487600,15317.700195,685600	0,90	0
ET016_01	-498400,15377.200195,690400	0,0	0
ET016_01	-498800,15354.200195,698000	0,270	0
ET016_01	-496000,15418.700195,702400	0,0	0
sw004_01	-351400,3511.899902,-46800	0,0	0
sw001_01	-347200,4520.069824,-30600	0,180	0
sw001_01	-361600,4520,-30600	0,180	0
sw011_01	-354400,4519.069824,-26900	0,180	0
sw006_01	-354400,6124.350098,-19600	0,180	0
sw008_01	-354400,6910.220215,-15300	0,180	0
sw014_01	-363200,8100.080078,-8600	0,90	0
sw014_01	-345610,8100.080078,-8600	0,270	0
sw015_01	-361000,8092.959961,-7000	0,90	0
sw015_01	-361000,8097.620117,-10200	0,0	0
sw015_01	-347800,8091.169922,-7000	0,180	0
sw015_01	-347800,8096.640137,-10200	0,270	0
sw016_01	-347200,3428.350098,-48200	0,0	0
sw016_01	-354400,3730.139893,-43800	0,0	0
sw016_01	-361600,3572.469971,-48200	0,0	0
sw004_01	-357400,3638.050049,-46800	0,0	0
sw019_01	-354400,6909.509766,-10800	0,180	0
sw018_01	-354400,8612.490234,-380	0,180	0
dr046_01	-217400,-1307.27002,398800	0,225	0
ET019_01	-259257,7877.220215,639861	0,184	0
ET019_01	-277653,8271.599609,649404	0,127	0
ET019_01	-243200,8427.049805,676400	0,208	0
ET019_01	-234400,7860.100098,687200	0,63	0
ET019_01	-218000,6978.799805,696800	0,63	0
ET019_01	-214000,6933.560059,686200	0,12	0
ET019_01	-230800,7904.22998,665600	0,132	0
ET019_01	-243000,8056.52002,648600	0,269	0
ET019_01	-246400,8004.740234,652200	0,20	0
ET019_01	-252600,7846.799805,657200	0,39	0
ET019_01	-293800,7548.600098,696400	0,340	0
ET019_01	-275200,7776.810059,690000	0,1	0
ET019_01	-277400,7626.799805,708800	0,25	0
lc003_01	-48000,16589.300781,-75600	0,0	0
sw021_01	-37400,17394.5,-78000	0,90	0
sw021_01	-58600,17394.5,-78000	0,270	0
sw022_01	-48000,18195,-81200	0,0	0
lc001_01	-43800,17540,-65690	0,0	0
lc001_01	-52600,17540,-65690	0,0	0
sw004_01	250400,3399.860107,-168400	0,0	0
sw004_01	242600,3336.050049,-168400	0,0	0
sw001_01	253600,4356.859863,-153400	0,180	0
sw001_01	239200,4356.859863,-153400	0,180	0
sw011_01	246400,4356.859863,-149700	0,180	0
