start_portal	finish_portal	cost
정찰자의 터	앵커빌 마을	500 
정찰자의 터	도시 델파라스	500 
정찰자의 터	원혼의 분지입구	800 
정찰자의 터	자무쉬의 봉인	600 
정찰자의 터	레비나일 강	1000 
앵커빌 마을	원혼의 분지입구	100 
앵커빌 마을	자무쉬의 봉인	100 
앵커빌 마을	정찰자의 터	100 
자무쉬의 봉인	정찰자의 터	1200 
자무쉬의 봉인	앵커빌 마을	1700 
자무쉬의 봉인	원혼의 분지입구	700 
자무쉬의 봉인	도시 델파라스	800 
자무쉬의 봉인	레비나일 강	1300 
도시 델파라스	자무쉬의 봉인	700 
도시 델파라스	정찰자의 터	800 
도시 델파라스	원혼의 분지입구	1200 
도시 델파라스	레비나일 강	1100 
도시 델파라스	도시 툴란	2700 
원혼의 분지입구	자무쉬의 봉인	600 
원혼의 분지입구	정찰자의 터	1400 
원혼의 분지입구	앵커빌 마을	900 
원혼의 분지입구	도시 델파라스	1300 
원혼의 분지입구	레비나일 강	1100 
레비나일 강	도시 델파라스	1400 
레비나일 강	자무쉬의 봉인	1400 
레비나일 강	정찰자의 터	2200 
레비나일 강	원혼의 분지입구	1300 
도시 툴란	레더후드	2800 
도시 툴란	왕의 다리	1800 
도시 툴란	엘로힘망루	2200 
도시 툴란	도시 델파라스	5900 
도시 툴란	셤프마을 남쪽	1100 
레더후드	도시 툴란	3200 
레더후드	왕의 다리	4600 
레더후드	엘로힘망루	5000 
레더후드	셤프마을 남쪽	3300 
왕의 다리	도시 툴란	1200 
왕의 다리	레더후드	2700 
왕의 다리	엘로힘망루	2100 
왕의 다리	셤프마을 남쪽	1800 
엘로힘망루	도시 툴란	2700 
엘로힘망루	레더후드	5200 
엘로힘망루	왕의 다리	3900 
엘로힘망루	셤프마을 남쪽	2300 
셤프마을 남쪽	도시 툴란	1100 
셤프마을 남쪽	레더후드	2700 
셤프마을 남쪽	왕의 다리	2600 
셤프마을 남쪽	엘로힘망루	1800 
사라미스 정원	그루터기	2400 
사라미스 정원	도시 엘로르	2400 
사라미스 정원	경계의 다리	4000 
그루터기	도시 엘로르	2200 
그루터기	사라미스의 정원	2400 
그루터기	경계의 다리	2600 
경계의 다리	그루터기	2600 
경계의 다리	도시 엘로르	2200 
경계의 다리	사라미스 정원	4100 
도시 엘로르	그루터기	2200 
도시 엘로르	사라미스 정원	2400 
도시 엘로르	경계의 다리	2100 
검은 파도 마을	크로우크로스	1600 
검은 파도 마을	골룬도마을	1000 
검은 파도 마을	숭배자 정착지	700 
골룬도 마을	검은 파도 마을	100 
골룬도 마을	크로우크로스	100 
크로우크로스	검은 파도 마을	1100 
크로우크로스	골룬도마을	600 
크로우크로스	숭배자 정착지	1200 
숭배자 정착지	검은 파도 마을	900 
숭배자 정착지	크로우크로스	2300 
숭배자 정착지	도시 쿤	1300 
도시 쿤	도시 자일록	4800 
도시 쿤	도시 트릴가드	4400 
도시 쿤	관문 마을	1200 
도시 쿤	천문관측소	2200 
도시 쿤	숭배자 정착지	1300 
관문 마을	도시 쿤	1400 
관문 마을	천문관측소	3400 
천문관측소	도시 쿤	2300 
천문관측소	관문 마을	3200 
도시 자일록	도시 쿤	8200 
도시 자일록	원정대 천막촌	7800 
도시 자일록	범프필드 북쪽	2900 
도시 자일록	도시 트릴가드	3800 
원정대 천막촌	도시 자일록	6200 
원정대 천막촌	범프필드 북쪽	4000 
원정대 천막촌	도시 트릴가드	4900 
범프필드 북쪽	도시 자일록	2500 
범프필드 북쪽	원정대 천막촌	4300 
범프필드 북쪽	도시 트릴가드	1100 
도시 트릴가드	도시 자일록	3400 
도시 트릴가드	도시 쿤	6600 
도시 트릴가드	원정대 천막촌	5400 
도시 트릴가드	범프필드 북쪽	1100 
사신의 평원	경계의 다리	4000 
사신의 평원	도시 자일록	6100 
사신의 평원	기후지도	3800
노린 마을	버려진 과수원	100
노린 마을	오래된 천막촌	100
버려진 과수원	오래된 천막촌	600
버려진 과수원	노린 마을	500
버려진 과수원	도시 라플레시아	900
버려진 과수원	에리엘	500
오래된 천막촌	버려진 과수원	500
오래된 천막촌	노린 마을	300
오래된 천막촌	도시 라플레시아	600
오래된 천막촌	에리엘	400
에리엘	오래된 천막촌	1200
에리엘	버려진 과수원	1000
에리엘	도시 라플레시아	1200
에리엘	루나웨이 습지대	2200
도시 라플레시아	버려진 과수원	3000
도시 라플레시아	오래된 천막촌	2900
도시 라플레시아	에리엘	1700
도시 라플레시아	루나웨이 습지대	1500
도시 라플레시아	도시 데리벨	2900
루나웨이 습지대	에리엘	3800
루나웨이 습지대	도시 라플레시아	1800
루나웨이 습지대	도시 데리벨	2100
도시 데리벨	루나웨이 습지대	2500
도시 데리벨	도시 라플레시아	3400
도시 데리벨	피의 제단	1500
도시 데리벨	사자의 여왕	2100
도시 데리벨	공중감옥	2500
도시 데리벨	토르 요새	4400
피의 제단	도시 데리벨	1700
피의 제단	사자의 여왕	3100
피의 제단	공중감옥	4200
사자의 여왕	도시 데리벨	3100
사자의 여왕	피의 제단	3500
사자의 여왕	공중감옥	2200
사자의 여왕	토르 요새	2300
사자의 여왕	기후지도	4500
공중감옥	도시 데리벨	3700
공중감옥	사자의 여왕	2200
공중감옥	토르 요새	2500
공중감옥	기후지도	4800
토르 요새	공중감옥	3300
토르 요새	기후지도	3200
토르 요새	사자의 여왕	3100
토르 요새	도시 데리벨	6000
기후지도	토르 요새	3200
기후지도	공중감옥	5200
기후지도	사자의 여왕	5000
시간이정지한 곳	테라노아	0
시간이정지한 곳	하이드백 마을	9200
테라노아	시간이정지한 곳	0
하이드백 마을	시간이정지한 곳	8700
리자드맨의 발톱	잊혀진 무덤 입구	0
